run,dataset,model,n_ahead,ws,n_var,mae,mape,training_time
1,ws7_fh30_var1,GRU,30,7,1,6.13203463147387,1867.3645786972595,7.639062881469727
1,ws7_fh30_var3,GRU,30,7,3,5.936476641542968,1755.122717970788,7.701228380203247
1,ws15_fh30_var1,GRU,30,15,1,6.119501946269514,1861.4339256862074,7.721669673919678
1,ws15_fh30_var3,GRU,30,15,3,5.895527194112249,1750.0132676109984,7.677397012710571
1,ws30_fh30_var1,GRU,30,30,1,6.21868714190487,1898.399426475585,7.917970657348633
1,ws30_fh30_var3,GRU,30,30,3,6.0333629520289085,1811.4805839965882,7.962832927703857
2,ws7_fh30_var1,GRU,30,7,1,6.110247102040027,1859.4201205445206,7.439157009124756
2,ws7_fh30_var3,GRU,30,7,3,5.873358720254426,1731.4059534042713,7.462212085723877
2,ws15_fh30_var1,GRU,30,15,1,6.124115308671519,1860.385246437,7.626110315322876
2,ws15_fh30_var3,GRU,30,15,3,5.935780457591093,1742.7092109458954,7.663800001144409
2,ws30_fh30_var1,GRU,30,30,1,6.195581874639205,1892.0664367628997,7.936187267303467
2,ws30_fh30_var3,GRU,30,30,3,6.011837912455552,1779.7224514635084,7.876519203186035
3,ws7_fh30_var1,GRU,30,7,1,6.09771544879493,1853.058506649559,7.345242500305176
3,ws7_fh30_var3,GRU,30,7,3,5.850538518335497,1735.6133763578327,7.398236274719238
3,ws15_fh30_var1,GRU,30,15,1,6.0896888070963096,1848.8819324823617,7.597688913345337
3,ws15_fh30_var3,GRU,30,15,3,5.958603378741043,1803.8137357870298,7.581496000289917
3,ws30_fh30_var1,GRU,30,30,1,6.200095806410073,1894.9455761986726,7.8582444190979
3,ws30_fh30_var3,GRU,30,30,3,6.091345152682352,1800.6394462662847,7.883914232254028
4,ws7_fh30_var1,GRU,30,7,1,6.1297121385907065,1865.8973679730782,7.3308680057525635
4,ws7_fh30_var3,GRU,30,7,3,5.902505266972199,1739.6748949379294,7.284786701202393
4,ws15_fh30_var1,GRU,30,15,1,6.085246542209444,1849.0595244229812,7.542387008666992
4,ws15_fh30_var3,GRU,30,15,3,5.864446140538377,1730.1238400286882,7.656436204910278
4,ws30_fh30_var1,GRU,30,30,1,6.2000240148922385,1893.2861578650134,7.9000396728515625
4,ws30_fh30_var3,GRU,30,30,3,5.998023443467814,1806.8640153243596,7.801184892654419
5,ws7_fh30_var1,GRU,30,7,1,6.11384529140905,1859.75570649446,7.331876516342163
5,ws7_fh30_var3,GRU,30,7,3,5.961624263072061,1754.3878905422318,7.371980428695679
5,ws15_fh30_var1,GRU,30,15,1,6.10815105554955,1857.4978123108363,7.4911158084869385
5,ws15_fh30_var3,GRU,30,15,3,5.86797978021989,1736.4219258119924,7.549517631530762
5,ws30_fh30_var1,GRU,30,30,1,6.1934957647877225,1891.7934076801344,7.828119277954102
5,ws30_fh30_var3,GRU,30,30,3,5.981651280585931,1788.0069171535372,7.798668146133423
