dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh30_var1,TKAN,30,7,1,6.76903808716488,21.441838645413657,26.384467840194702,0
ws7_fh30_var3,TKAN,30,7,3,6.1688530866515,17.74985207347686,24.694638967514038,0
ws15_fh30_var1,TKAN,30,15,1,7.056788790071024,22.809806424328038,37.950565576553345,0
ws15_fh30_var3,TKAN,30,15,3,6.507267667848439,18.08018218545514,44.38530707359314,0
ws30_fh30_var1,TKAN,30,30,1,6.974989743785778,22.714562510506962,48.684144496917725,0
ws30_fh30_var3,TKAN,30,30,3,6.16765377405593,17.205190586141025,36.24756169319153,0
ws7_fh30_var1,TKAN,30,7,1,7.588563152311569,24.704961447023226,29.69926142692566,1
ws7_fh30_var3,TKAN,30,7,3,6.272371188825213,18.869961652091664,20.429970741271973,1
ws15_fh30_var1,TKAN,30,15,1,6.660142952415103,21.193999023119883,39.4934606552124,1
ws15_fh30_var3,TKAN,30,15,3,6.205127238850127,17.114656588174295,31.22287631034851,1
ws30_fh30_var1,TKAN,30,30,1,6.39066190816982,19.710764207530154,47.63908576965332,1
ws30_fh30_var3,TKAN,30,30,3,5.969879216524199,17.04001698116849,42.68186163902283,1
ws7_fh30_var1,TKAN,30,7,1,6.335223052697139,19.204057008993473,19.913683891296387,2
ws7_fh30_var3,TKAN,30,7,3,6.150863631126713,18.412734411791963,23.299763441085815,2
ws15_fh30_var1,TKAN,30,15,1,6.205599311628228,18.667004988627514,39.066650390625,2
ws15_fh30_var3,TKAN,30,15,3,5.932168580940913,17.092469335987968,30.570732831954956,2
ws30_fh30_var1,TKAN,30,30,1,6.260999921846471,18.98688994059826,62.07835268974304,2
ws30_fh30_var3,TKAN,30,30,3,6.2055837901532716,18.04775107890428,48.229613065719604,2
ws7_fh30_var1,TKAN,30,7,1,6.5954443706356365,20.752504568446746,28.18668031692505,3
ws7_fh30_var3,TKAN,30,7,3,6.161773538241111,17.514267385449102,21.45997977256775,3
ws15_fh30_var1,TKAN,30,15,1,6.945119349576455,22.560522856408795,35.63288402557373,3
ws15_fh30_var3,TKAN,30,15,3,5.967919493879556,17.203545256956556,40.447585344314575,3
ws30_fh30_var1,TKAN,30,30,1,6.788991465041554,21.481085115280322,75.05729508399963,3
ws30_fh30_var3,TKAN,30,30,3,6.027310771589945,17.972676843371737,46.475635290145874,3
ws7_fh30_var1,TKAN,30,7,1,6.55045753470333,20.277048679350546,21.771806716918945,4
ws7_fh30_var3,TKAN,30,7,3,5.702924971832622,16.412059694589473,24.647833585739136,4
ws15_fh30_var1,TKAN,30,15,1,6.5932398985568526,21.001088171054246,43.48421788215637,4
ws15_fh30_var3,TKAN,30,15,3,5.770614524961996,16.755949052460913,29.777404069900513,4
ws30_fh30_var1,TKAN,30,30,1,6.292564201528718,19.361909458816093,46.09172177314758,4
ws30_fh30_var3,TKAN,30,30,3,6.039566421114822,17.07930712321329,44.57988452911377,4
ws7_fh30_var1,TKAN,30,7,1,6.30732982382839,19.439342773071274,20.622108459472656,5
ws7_fh30_var3,TKAN,30,7,3,5.99025872714916,18.244717741488813,21.4087336063385,5
ws15_fh30_var1,TKAN,30,15,1,6.26302001296822,19.258503746562425,31.199923992156982,5
ws15_fh30_var3,TKAN,30,15,3,5.793516813601678,16.343005663402224,31.64469861984253,5
ws30_fh30_var1,TKAN,30,30,1,6.475911918025557,19.576902086776368,76.13621377944946,5
ws30_fh30_var3,TKAN,30,30,3,6.567706694833993,18.404173096534247,39.35889434814453,5
ws7_fh30_var1,TKAN,30,7,1,6.574550274965537,20.593074658796056,22.437734603881836,6
ws7_fh30_var3,TKAN,30,7,3,6.163423753686187,17.565888183054422,22.295456171035767,6
ws15_fh30_var1,TKAN,30,15,1,6.363231536782051,20.00266622335969,42.744343757629395,6
ws15_fh30_var3,TKAN,30,15,3,5.871432169540097,16.723651452327765,35.353010177612305,6
ws30_fh30_var1,TKAN,30,30,1,6.5334781720540915,20.443917217797285,57.10907554626465,6
ws30_fh30_var3,TKAN,30,30,3,6.042076714154449,17.201665897954737,40.7576265335083,6
ws7_fh30_var1,TKAN,30,7,1,6.397707195532207,20.077791855135587,25.725923538208008,7
ws7_fh30_var3,TKAN,30,7,3,5.959434382392775,17.406256057844015,23.757222175598145,7
ws15_fh30_var1,TKAN,30,15,1,6.197461359336119,18.91296301644958,34.96915006637573,7
ws15_fh30_var3,TKAN,30,15,3,6.155513635063562,18.540719682886852,30.389098167419434,7
ws30_fh30_var1,TKAN,30,30,1,6.584119584787001,20.46937717348618,77.94363355636597,7
ws30_fh30_var3,TKAN,30,30,3,6.032777964986545,17.178375152461395,44.651039600372314,7
ws7_fh30_var1,TKAN,30,7,1,6.684365656173519,21.003032742747052,32.008230447769165,8
ws7_fh30_var3,TKAN,30,7,3,5.917473842627268,16.904056887077168,19.948214054107666,8
ws15_fh30_var1,TKAN,30,15,1,7.00057737034867,22.989860868810226,41.50761651992798,8
ws15_fh30_var3,TKAN,30,15,3,6.106376195794542,17.41531192149557,42.24849057197571,8
ws30_fh30_var1,TKAN,30,30,1,6.333267402480257,19.521604597608086,52.985864877700806,8
ws30_fh30_var3,TKAN,30,30,3,5.900478731326225,16.676765337226442,41.57820701599121,8
ws7_fh30_var1,TKAN,30,7,1,6.636134958889795,21.077106110851183,26.56062364578247,9
ws7_fh30_var3,TKAN,30,7,3,6.038860279227858,17.285450287205062,21.430980920791626,9
ws15_fh30_var1,TKAN,30,15,1,6.7051270877825715,20.892767855733,44.16414999961853,9
ws15_fh30_var3,TKAN,30,15,3,6.031794724220567,16.718752433548293,33.37716364860535,9
ws30_fh30_var1,TKAN,30,30,1,6.743345029620246,21.633097037172185,65.39961242675781,9
ws30_fh30_var3,TKAN,30,30,3,6.092575873793295,17.822988104915837,31.493794202804565,9
ws7_fh30_var1,TKAN,30,7,1,6.766899345534471,21.27399301528536,23.153157234191895,10
ws7_fh30_var3,TKAN,30,7,3,6.5323236240005365,19.856955701122143,26.74030041694641,10
ws15_fh30_var1,TKAN,30,15,1,6.462120496037997,20.23408623036267,39.22369146347046,10
ws15_fh30_var3,TKAN,30,15,3,5.961279627154163,16.68448382931049,34.383196115493774,10
ws30_fh30_var1,TKAN,30,30,1,6.605766441313073,19.832762678827635,47.908663272857666,10
ws30_fh30_var3,TKAN,30,30,3,5.961294360221668,17.176058394212543,45.43846392631531,10
ws7_fh30_var1,TKAN,30,7,1,6.5097425497215315,20.648074851379324,20.247421979904175,11
ws7_fh30_var3,TKAN,30,7,3,6.248224153977785,18.416078438784965,29.664687395095825,11
ws15_fh30_var1,TKAN,30,15,1,6.6047379968123545,20.778504940963984,45.26469039916992,11
ws15_fh30_var3,TKAN,30,15,3,6.15496006678409,16.937683217410267,28.359161376953125,11
ws30_fh30_var1,TKAN,30,30,1,6.138164344384522,18.606895677329057,49.02793049812317,11
ws30_fh30_var3,TKAN,30,30,3,6.027232132436282,16.888237817947193,50.1632022857666,11
ws7_fh30_var1,TKAN,30,7,1,6.665077878059238,20.763861491726793,24.761122941970825,12
ws7_fh30_var3,TKAN,30,7,3,6.238801492214544,17.636471084130108,29.376449823379517,12
ws15_fh30_var1,TKAN,30,15,1,6.761149684365346,20.98086053402813,38.05783200263977,12
ws15_fh30_var3,TKAN,30,15,3,6.3314297051217565,17.7483953911673,32.48728322982788,12
ws30_fh30_var1,TKAN,30,30,1,6.441590386888666,20.020735923610754,57.5375235080719,12
ws30_fh30_var3,TKAN,30,30,3,6.139498689285631,17.496682915069943,40.302902936935425,12
ws7_fh30_var1,TKAN,30,7,1,6.681255149851828,21.35144887945959,23.37079620361328,13
ws7_fh30_var3,TKAN,30,7,3,6.247578606514389,17.822341637976198,22.765841007232666,13
ws15_fh30_var1,TKAN,30,15,1,6.716111534141788,21.39475961846281,41.446048974990845,13
ws15_fh30_var3,TKAN,30,15,3,6.0172794511650896,17.798678687627163,28.95572853088379,13
ws30_fh30_var1,TKAN,30,30,1,6.37271257791996,19.599815141906205,72.50440287590027,13
ws30_fh30_var3,TKAN,30,30,3,6.081035008885607,16.98149331927463,45.832905769348145,13
ws7_fh30_var1,TKAN,30,7,1,6.266163119859607,19.22267539058051,21.805174827575684,14
ws7_fh30_var3,TKAN,30,7,3,6.24733079154877,17.50371132714626,24.038355827331543,14
ws15_fh30_var1,TKAN,30,15,1,6.537655051219133,20.361342474334183,32.10606026649475,14
ws15_fh30_var3,TKAN,30,15,3,5.950185305225059,17.035056864183044,29.87377166748047,14
ws30_fh30_var1,TKAN,30,30,1,6.360319973284114,19.651688678310546,80.53097820281982,14
ws30_fh30_var3,TKAN,30,30,3,5.886783511909522,16.53252400823903,48.521639347076416,14
ws7_fh30_var1,TKAN,30,7,1,7.319121708082847,23.729530869428228,20.710248231887817,15
ws7_fh30_var3,TKAN,30,7,3,6.463919901071841,18.168322466169705,23.571043491363525,15
ws15_fh30_var1,TKAN,30,15,1,6.106457621130475,18.347088249517704,33.31092667579651,15
ws15_fh30_var3,TKAN,30,15,3,6.10061232853547,17.312001086276435,33.90604877471924,15
ws30_fh30_var1,TKAN,30,30,1,6.748032442051454,21.32371536703094,49.82308006286621,15
ws30_fh30_var3,TKAN,30,30,3,6.03076116443763,16.73833450258523,37.021127223968506,15
ws7_fh30_var1,TKAN,30,7,1,6.246356895424971,19.135238561222458,33.301817655563354,16
ws7_fh30_var3,TKAN,30,7,3,6.332581278423757,18.101511717208442,24.234349727630615,16
ws15_fh30_var1,TKAN,30,15,1,6.441813624910195,19.992308044057513,43.306737661361694,16
ws15_fh30_var3,TKAN,30,15,3,6.075367705529161,17.29745289869567,29.208276748657227,16
ws30_fh30_var1,TKAN,30,30,1,6.508950365586299,21.012625713930397,61.798129081726074,16
ws30_fh30_var3,TKAN,30,30,3,6.087091575714373,16.79109654801581,44.46027612686157,16
ws7_fh30_var1,TKAN,30,7,1,6.594713771404629,20.753375713642182,23.403735637664795,17
ws7_fh30_var3,TKAN,30,7,3,6.187751491606221,18.17158697296665,23.243029832839966,17
ws15_fh30_var1,TKAN,30,15,1,7.0123204926558955,22.681623489833935,34.553287744522095,17
ws15_fh30_var3,TKAN,30,15,3,6.025535064572191,17.6571977822626,43.73815321922302,17
ws30_fh30_var1,TKAN,30,30,1,6.632745593677015,20.857310908097844,51.34408926963806,17
ws30_fh30_var3,TKAN,30,30,3,6.087398799784944,17.072793969923545,53.92007613182068,17
ws7_fh30_var1,TKAN,30,7,1,6.424827654060841,19.82946679719909,28.958163738250732,18
ws7_fh30_var3,TKAN,30,7,3,6.021912743461825,16.84685702333354,20.849543571472168,18
ws15_fh30_var1,TKAN,30,15,1,6.397721956673438,19.430438515572483,42.8460693359375,18
ws15_fh30_var3,TKAN,30,15,3,6.07412556657395,17.544438219209095,34.79529166221619,18
ws30_fh30_var1,TKAN,30,30,1,6.453868359696948,19.90549802286147,59.31545805931091,18
ws30_fh30_var3,TKAN,30,30,3,6.017357394762828,17.669049251276604,47.064584732055664,18
ws7_fh30_var1,TKAN,30,7,1,6.395940218644439,19.639040062483236,46.41772413253784,19
ws7_fh30_var3,TKAN,30,7,3,5.9176977672169695,16.975607308325493,22.351353645324707,19
ws15_fh30_var1,TKAN,30,15,1,6.273161864228404,19.282994271713072,37.194480895996094,19
ws15_fh30_var3,TKAN,30,15,3,6.087829684193552,17.05086842280769,33.81096315383911,19
ws30_fh30_var1,TKAN,30,30,1,6.421650706622605,19.58925377055986,77.45844578742981,19
ws30_fh30_var3,TKAN,30,30,3,5.940309744103663,17.069328273383277,43.81785249710083,19
ws7_fh30_var1,TKAN,30,7,1,6.441496709368952,19.898515866637,26.896957397460938,20
ws7_fh30_var3,TKAN,30,7,3,6.573044336520366,18.757346453206615,21.656782388687134,20
ws15_fh30_var1,TKAN,30,15,1,6.3641955653292275,19.920143106707325,42.57974147796631,20
ws15_fh30_var3,TKAN,30,15,3,5.659266231107451,16.395537853217295,31.3727068901062,20
ws30_fh30_var1,TKAN,30,30,1,6.734032671996382,20.938316326469206,58.78345465660095,20
ws30_fh30_var3,TKAN,30,30,3,6.307083829411908,18.636918988654443,50.26423358917236,20
ws7_fh30_var1,TKAN,30,7,1,6.438798226209969,19.937127072349785,27.900264978408813,21
ws7_fh30_var3,TKAN,30,7,3,6.2630878195940385,18.053635253936978,22.044145345687866,21
ws15_fh30_var1,TKAN,30,15,1,6.647170324694758,21.010284690436443,40.43213391304016,21
ws15_fh30_var3,TKAN,30,15,3,6.231825084265508,17.40422538635705,40.81238508224487,21
ws30_fh30_var1,TKAN,30,30,1,6.65756523036632,20.939163181394523,49.373045444488525,21
ws30_fh30_var3,TKAN,30,30,3,6.043799934461784,17.206578829863698,50.622095823287964,21
ws7_fh30_var1,TKAN,30,7,1,6.542532830031511,20.530186440437877,28.792221784591675,22
ws7_fh30_var3,TKAN,30,7,3,6.134696405714578,17.897398175068897,26.528112411499023,22
ws15_fh30_var1,TKAN,30,15,1,6.656307822387477,20.898193133906165,34.22895264625549,22
ws15_fh30_var3,TKAN,30,15,3,6.548811517240822,18.50799747745189,32.721898555755615,22
ws30_fh30_var1,TKAN,30,30,1,6.765114409424393,22.0244133915984,58.531572341918945,22
ws30_fh30_var3,TKAN,30,30,3,6.235319033976623,17.41830317344404,44.68212270736694,22
ws7_fh30_var1,TKAN,30,7,1,6.25506194481789,19.52677324332397,21.876060247421265,23
ws7_fh30_var3,TKAN,30,7,3,6.0916262016094445,17.36583886193925,30.156596422195435,23
ws15_fh30_var1,TKAN,30,15,1,6.807977938753098,21.656116273896675,42.33826017379761,23
ws15_fh30_var3,TKAN,30,15,3,5.97906163150089,16.718955127889075,35.20907235145569,23
ws30_fh30_var1,TKAN,30,30,1,6.459998445897553,20.24542207279394,68.4548966884613,23
ws30_fh30_var3,TKAN,30,30,3,6.045710666566571,17.262472234017082,47.99956822395325,23
ws7_fh30_var1,TKAN,30,7,1,6.517387189227413,20.384435566071723,31.75065779685974,24
ws7_fh30_var3,TKAN,30,7,3,6.621485829479256,19.83038782234074,26.16623330116272,24
ws15_fh30_var1,TKAN,30,15,1,7.430560723588127,24.465798214699248,33.590012311935425,24
ws15_fh30_var3,TKAN,30,15,3,6.123804746930495,17.22499502923558,36.665897607803345,24
ws30_fh30_var1,TKAN,30,30,1,6.32207326879482,19.78060803589269,53.82478880882263,24
ws30_fh30_var3,TKAN,30,30,3,6.155303485031895,17.47482225099365,47.215611934661865,24
ws7_fh30_var1,TKAN,30,7,1,6.288385496926252,19.53649813824554,31.358201503753662,25
ws7_fh30_var3,TKAN,30,7,3,5.958169787002912,17.257871738876275,25.825739860534668,25
ws15_fh30_var1,TKAN,30,15,1,6.540295709619611,20.56873049661162,41.1427206993103,25
ws15_fh30_var3,TKAN,30,15,3,5.986461610653942,16.911936473184223,33.866795778274536,25
ws30_fh30_var1,TKAN,30,30,1,6.516987810289325,20.279656179070923,72.00313019752502,25
ws30_fh30_var3,TKAN,30,30,3,5.879725790325569,17.018504691796032,45.06526470184326,25
ws7_fh30_var1,TKAN,30,7,1,6.826439105578317,21.678032548371597,28.486477375030518,26
ws7_fh30_var3,TKAN,30,7,3,6.101853855935916,17.83369564452249,26.811835527420044,26
ws15_fh30_var1,TKAN,30,15,1,6.655672955851859,21.128118715924142,40.80857872962952,26
ws15_fh30_var3,TKAN,30,15,3,6.636386072991535,18.59210313464376,34.920002698898315,26
ws30_fh30_var1,TKAN,30,30,1,6.133108573798633,18.63469329577884,51.923593282699585,26
ws30_fh30_var3,TKAN,30,30,3,6.861288578189017,21.558353047864674,44.80177187919617,26
ws7_fh30_var1,TKAN,30,7,1,6.599272233351606,20.656170956700233,23.10297679901123,27
ws7_fh30_var3,TKAN,30,7,3,6.18278570186098,18.223806590383855,20.833382844924927,27
ws15_fh30_var1,TKAN,30,15,1,6.768650014914738,20.808226599704362,51.40312123298645,27
ws15_fh30_var3,TKAN,30,15,3,5.8233399703849225,16.585649545359164,38.921918630599976,27
ws30_fh30_var1,TKAN,30,30,1,7.093086282901583,22.60492576717496,68.94655084609985,27
ws30_fh30_var3,TKAN,30,30,3,6.345445489359292,17.438212559145985,51.22987699508667,27
ws7_fh30_var1,TKAN,30,7,1,6.359366065137357,19.524077605226143,24.358455657958984,28
ws7_fh30_var3,TKAN,30,7,3,6.23478830921661,18.113859895228746,22.584694862365723,28
