dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh1_var1,TKAN,1,7,1,1.6615573950385234,5.336935972054517,37.85415577888489,0
ws7_fh1_var3,TKAN,1,7,3,1.5664677272970922,4.80515480676763,45.91509795188904,0
ws15_fh1_var1,TKAN,1,15,1,1.43453484908586,4.333422703736888,78.48117184638977,0
ws15_fh1_var3,TKAN,1,15,3,1.6490994813389523,4.999107764272469,67.22452306747437,0
ws30_fh1_var1,TKAN,1,30,1,1.4493013168584545,4.4655963555928,143.16376852989197,0
ws30_fh1_var3,TKAN,1,30,3,1.880011190629617,6.161665242238536,144.0080795288086,0
ws7_fh1_var1,TKAN,1,7,1,1.7522152765068744,5.636753841195487,43.62771916389465,1
ws7_fh1_var3,TKAN,1,7,3,1.6627310847144494,5.170651916646425,42.27402973175049,1
ws15_fh1_var1,TKAN,1,15,1,2.1237280550960245,7.287120587257943,70.29510688781738,1
ws15_fh1_var3,TKAN,1,15,3,1.5954027604684315,4.961566907229597,74.13255834579468,1
ws30_fh1_var1,TKAN,1,30,1,1.6292373307732284,4.927828028853069,134.6749632358551,1
ws30_fh1_var3,TKAN,1,30,3,1.855145443320468,6.049543682896083,142.158376455307,1
ws7_fh1_var1,TKAN,1,7,1,2.960208903062966,10.333446747310203,39.51776313781738,2
ws7_fh1_var3,TKAN,1,7,3,1.7189040959103892,5.307778616080819,44.592721462249756,2
ws15_fh1_var1,TKAN,1,15,1,2.0053259159402805,6.7511989752124375,72.18544602394104,2
ws15_fh1_var3,TKAN,1,15,3,2.0334713099065542,6.7048004754755235,69.7858293056488,2
ws30_fh1_var1,TKAN,1,30,1,1.775756030359342,5.757629073913381,125.9285843372345,2
ws30_fh1_var3,TKAN,1,30,3,1.6507571275557695,5.024458781598628,136.90499663352966,2
ws7_fh1_var1,TKAN,1,7,1,1.6080007382403185,5.15409931432008,46.06940245628357,3
ws7_fh1_var3,TKAN,1,7,3,1.7542816118562823,5.422543155693877,42.1213800907135,3
ws15_fh1_var1,TKAN,1,15,1,1.871217704892766,6.2388584122035695,72.34918642044067,3
ws15_fh1_var3,TKAN,1,15,3,1.3745417694153785,4.141716540903471,69.66372418403625,3
ws30_fh1_var1,TKAN,1,30,1,1.5966976385369849,5.132992134317081,142.8064742088318,3
ws30_fh1_var3,TKAN,1,30,3,1.6017212160916952,4.834457203790587,132.59295868873596,3
