dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh3_var1,TKAN,3,7,1,2.7332283284052075,9.098458799824915,44.47154664993286,0
ws7_fh3_var3,TKAN,3,7,3,3.378575148142033,10.997985297829393,30.05195951461792,0
ws15_fh3_var1,TKAN,3,15,1,2.9914807353390964,9.902087337586158,76.36834287643433,0
ws15_fh3_var3,TKAN,3,15,3,2.5178345469082273,8.258424026429193,70.67380428314209,0
ws30_fh3_var1,TKAN,3,30,1,2.5818921394598493,8.396955738549535,134.21709895133972,0
ws30_fh3_var3,TKAN,3,30,3,2.5051719568628137,8.151496313025651,127.45867276191711,0
ws7_fh3_var1,TKAN,3,7,1,2.7339060959260597,8.856919527875396,31.07332181930542,1
ws7_fh3_var3,TKAN,3,7,3,2.565957972835432,8.243369801401466,31.687330722808838,1
ws15_fh3_var1,TKAN,3,15,1,3.0491064547677453,10.350706945814043,55.326998710632324,1
ws15_fh3_var3,TKAN,3,15,3,3.159727360806351,10.748713457453881,72.53901386260986,1
ws30_fh3_var1,TKAN,3,30,1,2.5238427056488852,8.164799567006165,121.97110080718994,1
ws30_fh3_var3,TKAN,3,30,3,2.343016971721141,7.359973724483569,132.65791749954224,1
ws7_fh3_var1,TKAN,3,7,1,2.5303570340844566,8.052205296489348,33.74631381034851,2
ws7_fh3_var3,TKAN,3,7,3,2.5996850009668164,8.234161318339199,35.32552742958069,2
ws15_fh3_var1,TKAN,3,15,1,2.2732833881435432,6.975663105582088,68.05961656570435,2
ws15_fh3_var3,TKAN,3,15,3,2.858867878849781,9.47163870234732,57.86362266540527,2
ws30_fh3_var1,TKAN,3,30,1,2.3090314502210276,7.230521235455213,123.3336455821991,2
ws30_fh3_var3,TKAN,3,30,3,2.743944836683555,8.816304905701044,102.26545405387878,2
ws7_fh3_var1,TKAN,3,7,1,2.8322001479202767,9.45955915960926,43.38080668449402,3
ws7_fh3_var3,TKAN,3,7,3,3.3570521021337583,11.392677701185423,41.31405591964722,3
ws15_fh3_var1,TKAN,3,15,1,3.332913619149547,10.763812772591045,51.91299319267273,3
ws15_fh3_var3,TKAN,3,15,3,2.526355516833004,7.645072862634941,60.10148215293884,3
ws30_fh3_var1,TKAN,3,30,1,2.4723963679781273,7.967335667082544,123.99087691307068,3
ws30_fh3_var3,TKAN,3,30,3,2.5558178240072214,8.009776521046435,130.1977744102478,3
ws7_fh3_var1,TKAN,3,7,1,3.1291420968025303,10.486994197756657,50.76713299751282,4
ws7_fh3_var3,TKAN,3,7,3,2.4467706934507447,7.832575607580748,45.43774485588074,4
ws15_fh3_var1,TKAN,3,15,1,3.5915222229123147,11.755763913438816,70.82950210571289,4
ws15_fh3_var3,TKAN,3,15,3,2.5523596361031435,8.194052704903703,71.4335560798645,4
ws30_fh3_var1,TKAN,3,30,1,2.3659447601442123,7.291008805824912,123.36217522621155,4
ws30_fh3_var3,TKAN,3,30,3,2.6562814784806412,8.583399940366032,116.18064522743225,4
ws7_fh3_var1,TKAN,3,7,1,2.596730325345844,8.456428369374876,46.02625226974487,5
ws7_fh3_var3,TKAN,3,7,3,2.835356440831448,9.48296586236709,42.086496353149414,5
ws15_fh3_var1,TKAN,3,15,1,3.0104147754418276,10.11356728118217,68.72609996795654,5
ws15_fh3_var3,TKAN,3,15,3,2.7343321948014974,8.549094740088004,55.28325533866882,5
ws30_fh3_var1,TKAN,3,30,1,2.6217864113717337,8.654840580663782,137.70296907424927,5
ws30_fh3_var3,TKAN,3,30,3,2.7301179672986913,9.085314562909916,134.1969985961914,5
ws7_fh3_var1,TKAN,3,7,1,2.3121885603033925,7.0838523003462885,47.5534405708313,6
ws7_fh3_var3,TKAN,3,7,3,2.490206771576988,8.013826039859016,45.137882232666016,6
ws15_fh3_var1,TKAN,3,15,1,2.3927254498278114,7.612200678981107,69.7700765132904,6
ws15_fh3_var3,TKAN,3,15,3,3.041245294270135,10.304059517132776,71.0400402545929,6
ws30_fh3_var1,TKAN,3,30,1,2.4149582092434922,7.709948600169257,134.59349966049194,6
ws30_fh3_var3,TKAN,3,30,3,2.3893119533487117,7.411448652152108,124.84762907028198,6
