dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,TKAN,15,1,1,1.5745290391386166,4.843828802271735,49.31948020458221
ws15_fh1_var3,TKAN,15,1,3,2.207615284377895,7.1451354365975845,48.160700058937074
ws15_fh3_var1,TKAN,15,3,1,2.442555157469241,7.683028764967554,48.05968799591064
ws15_fh3_var3,TKAN,15,3,3,2.6894594498967197,8.28449451042621,47.853362345695494
ws15_fh7_var1,TKAN,15,7,1,3.7276310586043535,11.540718164179465,49.24711945056915
ws15_fh7_var3,TKAN,15,7,3,4.011208687026918,12.206541300619609,49.43839056491852
ws30_fh1_var1,TKAN,30,1,1,2.1618395293260044,6.79403761146722,80.17812576293946
ws30_fh1_var3,TKAN,30,1,3,2.3558634309043676,7.667439742688115,80.32244560718536
ws30_fh3_var1,TKAN,30,3,1,2.424633127806881,7.627694940091823,81.5402508020401
ws30_fh3_var3,TKAN,30,3,3,2.7018791275426537,8.368240453070667,79.42177038192749
ws30_fh7_var1,TKAN,30,7,1,3.7612441648792014,11.802977659125931,78.54418177604676
ws30_fh7_var3,TKAN,30,7,3,3.9789530588333357,12.104540868807373,79.26328222751617
ws7_fh1_var1,TKAN,7,1,1,1.6307785599836873,5.114407054513728,32.6608568906784
ws7_fh1_var3,TKAN,7,1,3,1.9201417953191289,6.0355041151187425,32.365804290771486
ws7_fh3_var1,TKAN,7,3,1,2.3471867777853817,7.387874300176111,31.99774043560028
ws7_fh3_var3,TKAN,7,3,3,2.7350478066799053,8.41205000797856,32.34886088371277
ws7_fh7_var1,TKAN,7,7,1,3.7238742104070646,11.726501446890621,30.596465826034546
ws7_fh7_var3,TKAN,7,7,3,3.9166584121031223,11.949425717286182,30.664103269577026
