dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh1_var1,TKAN,1,7,1,1.7898936360625464,5.780122615849028,31.65831685066223,0
ws7_fh1_var3,TKAN,1,7,3,1.9581688897302987,6.09028302033684,31.73490023612976,0
ws7_fh3_var1,TKAN,3,7,1,2.581452603106248,8.315828204197324,32.120444774627686,0
ws7_fh3_var3,TKAN,3,7,3,2.989351109968381,9.267140663224023,31.86697268486023,0
ws7_fh7_var1,TKAN,7,7,1,3.6176678925083987,11.232227628188799,71.57519364356995,0
ws7_fh7_var3,TKAN,7,7,3,3.8484839019140877,12.109323468451677,33.41454076766968,0
ws15_fh1_var1,TKAN,1,15,1,1.730963416924838,5.252475092885647,51.02823233604431,0
ws15_fh1_var3,TKAN,1,15,3,1.826022826994173,5.428426263074041,50.80296564102173,0
ws15_fh3_var1,TKAN,3,15,1,2.321880430407556,7.135408092565654,50.79953932762146,0
ws15_fh3_var3,TKAN,3,15,3,2.8172510877127475,8.78108186525787,50.87610054016113,0
ws15_fh7_var1,TKAN,7,15,1,3.634628718799233,11.032940142788169,50.775490045547485,0
ws15_fh7_var3,TKAN,7,15,3,4.044137920752462,12.223970021299682,50.74675107002258,0
ws30_fh1_var1,TKAN,1,30,1,1.489640326787826,4.457302773960645,83.85472512245178,0
ws30_fh1_var3,TKAN,1,30,3,2.0022193248265587,6.541983156096341,83.0067069530487,0
ws30_fh3_var1,TKAN,3,30,1,2.323158698949665,7.22450795843749,83.13182187080383,0
ws30_fh3_var3,TKAN,3,30,3,2.7454530276300644,8.508271682058805,83.07313585281372,0
ws30_fh7_var1,TKAN,7,30,1,3.6450294487729473,11.234973272242614,83.12899279594421,0
ws30_fh7_var3,TKAN,7,30,3,3.8117345707978423,11.769156607050624,82.665212392807,0
ws7_fh1_var1,TKAN,1,7,1,1.386268844892338,4.231657371283291,32.351500034332275,1
ws7_fh1_var3,TKAN,1,7,3,4.832520764442314,17.603621291777316,31.956629037857056,1
ws7_fh3_var1,TKAN,3,7,1,2.3575274265803574,7.4317592194802,31.654367446899414,1
ws7_fh3_var3,TKAN,3,7,3,2.6336336751939395,8.012148249738061,31.559192657470703,1
ws7_fh7_var1,TKAN,7,7,1,3.655255486572721,11.415905778538383,31.55275535583496,1
ws7_fh7_var3,TKAN,7,7,3,3.951704137133588,11.955255492844385,31.511284112930298,1
ws15_fh1_var1,TKAN,1,15,1,1.4995999781508211,4.631170935756654,48.998647928237915,1
ws15_fh1_var3,TKAN,1,15,3,2.1308546860814404,6.911064857029994,49.19015908241272,1
ws15_fh3_var1,TKAN,3,15,1,2.3609580290173495,7.398639219191095,49.10718846321106,1
ws15_fh3_var3,TKAN,3,15,3,2.588671066866564,7.989978521568252,49.27518057823181,1
ws15_fh7_var1,TKAN,7,15,1,3.656194864013436,11.382718164059877,48.727025270462036,1
ws15_fh7_var3,TKAN,7,15,3,4.113395561752952,12.021742461467682,49.066940784454346,1
ws30_fh1_var1,TKAN,1,30,1,1.8938473080836118,5.825713900459507,81.09698295593262,1
ws30_fh1_var3,TKAN,1,30,3,2.260318310062083,6.948440174589611,80.46993613243103,1
ws30_fh3_var1,TKAN,3,30,1,2.6245865038873113,8.418094164922906,80.72901439666748,1
ws30_fh3_var3,TKAN,3,30,3,2.695973155337768,8.136785769324414,82.00460624694824,1
ws30_fh7_var1,TKAN,7,30,1,3.846271691599883,12.213950490189859,81.54264187812805,1
ws30_fh7_var3,TKAN,7,30,3,4.020462779746352,11.972954931870744,81.23993229866028,1
ws7_fh1_var1,TKAN,1,7,1,2.168879889483012,6.8509148706668865,71.09413862228394,2
ws7_fh1_var3,TKAN,1,7,3,2.2095787916109657,6.972536836894244,32.89616298675537,2
ws7_fh3_var1,TKAN,3,7,1,2.25510341792221,6.898276557599793,32.54407596588135,2
ws7_fh3_var3,TKAN,3,7,3,2.696638438023451,8.477853016081855,32.11329245567322,2
ws7_fh7_var1,TKAN,7,7,1,3.596641022621724,11.2075500863462,32.0626266002655,2
ws7_fh7_var3,TKAN,7,7,3,3.909177997620128,12.091332811452853,31.885905265808105,2
ws15_fh1_var1,TKAN,1,15,1,1.7529545964640538,5.287250100515861,49.32480454444885,2
ws15_fh1_var3,TKAN,1,15,3,2.2031716725304986,7.352393783444268,49.80129647254944,2
ws15_fh3_var1,TKAN,3,15,1,2.260991664353648,7.038297662258946,48.77580165863037,2
ws15_fh3_var3,TKAN,3,15,3,2.7575252137640347,8.426281732879644,48.74808859825134,2
ws15_fh7_var1,TKAN,7,15,1,3.6580645720705225,11.322355764447808,48.703705072402954,2
ws15_fh7_var3,TKAN,7,15,3,4.13743040863145,12.60074353791076,48.51274132728577,2
ws30_fh1_var1,TKAN,1,30,1,2.881117032950829,8.965788585166989,81.25454592704773,2
ws30_fh1_var3,TKAN,1,30,3,3.1366168397920933,10.523969366326423,81.31812644004822,2
ws30_fh3_var1,TKAN,3,30,1,2.354702933901181,7.272387807723992,81.07728719711304,2
ws30_fh3_var3,TKAN,3,30,3,2.599747104395995,8.147239122383215,81.70140027999878,2
ws30_fh7_var1,TKAN,7,30,1,3.644015616443517,11.009407662201076,81.20210337638855,2
ws30_fh7_var3,TKAN,7,30,3,4.0046068813015046,12.047253067962933,81.23884057998657,2
ws7_fh1_var1,TKAN,1,7,1,1.4056394620760573,4.226380963625164,31.438182592391968,3
ws7_fh1_var3,TKAN,1,7,3,2.346876344356041,7.465527559743225,31.48168921470642,3
ws7_fh3_var1,TKAN,3,7,1,2.618484216465134,8.37792522415757,31.656322956085205,3
