dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,7,1,1,1.7501517763270027,5.586333941214238,43.77508523464203
ws7_fh1_var3,TKAN,7,1,3,1.723229038573545,5.430663323593505,43.53039784431458
ws7_fh3_var1,TKAN,7,3,1,2.777583247333327,9.06287147665842,41.99100160598755
ws7_fh3_var3,TKAN,7,3,3,2.719133362081064,8.74618025194796,39.643634700775145
ws7_fh7_var1,TKAN,7,7,1,4.3983803333574425,14.380508540963993,37.08948085308075
ws7_fh7_var3,TKAN,7,7,3,4.387371621588826,13.731635746760649,38.19445126056671
ws15_fh1_var1,TKAN,15,1,1,1.7487745046756835,5.67903172491533,70.2358053445816
ws15_fh1_var3,TKAN,15,1,3,1.71799863029281,5.339378671582609,68.16481876373291
ws15_fh3_var1,TKAN,15,3,1,2.892780140277008,9.470442398872157,67.75919933319092
ws15_fh3_var3,TKAN,15,3,3,2.7063942616866763,8.787063357515056,67.0234397649765
ws15_fh7_var1,TKAN,15,7,1,3.865399302273695,12.353147124622089,68.84026229381561
ws15_fh7_var3,TKAN,15,7,3,4.029528440081865,12.805353810847814,65.87074525356293
ws30_fh1_var1,TKAN,30,1,1,1.6071991235589007,5.093737606790909,137.22548115253448
ws30_fh1_var3,TKAN,30,1,3,1.7968535811869235,5.703589439169615,136.3499247789383
ws30_fh3_var1,TKAN,30,3,1,2.4537632204450226,7.834395017451572,130.69380373954772
ws30_fh3_var3,TKAN,30,3,3,2.6475349759989903,8.594521977787515,126.3264057636261
ws30_fh7_var1,TKAN,30,7,1,3.924188492890112,12.403805481100704,124.36846506595612
ws30_fh7_var3,TKAN,30,7,3,4.045938606743683,12.704738396551296,129.70146889686583
