dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,LSTM,15,1,1,3.5186931040470815,10.986048334966178,9.824018359184265
ws15_fh1_var3,LSTM,15,1,3,3.8897540627102023,13.147237476888053,9.715573415756225
ws15_fh3_var1,LSTM,15,3,1,3.8063372361714984,11.642517562409816,9.957291498184203
ws15_fh3_var3,LSTM,15,3,3,3.467218462408232,10.825788544607594,10.150577068328857
ws15_fh7_var1,LSTM,15,7,1,4.819200592248705,14.73375898760648,10.468693838119506
ws15_fh7_var3,LSTM,15,7,3,4.525497951685055,13.662303118256446,10.58028748512268
ws30_fh1_var1,LSTM,30,1,1,3.5010799052411414,10.923305062742338,11.069623990058899
ws30_fh1_var3,LSTM,30,1,3,3.7451342903767704,12.580879841598495,10.854445600509644
ws30_fh3_var1,LSTM,30,3,1,3.7368169349688163,11.480798862143436,11.343239755630494
ws30_fh3_var3,LSTM,30,3,3,3.3866451899876915,10.482485953534502,11.509080042839049
ws30_fh7_var1,LSTM,30,7,1,4.733307491401949,14.482788486507102,11.32222496509552
ws30_fh7_var3,LSTM,30,7,3,4.525927416333074,13.533945076694167,11.27375295162201
ws7_fh1_var1,LSTM,7,1,1,3.4691185852928665,10.932606755524272,9.511560897827149
ws7_fh1_var3,LSTM,7,1,3,3.7178118834066516,12.701271621844958,9.487792549133301
ws7_fh3_var1,LSTM,7,3,1,3.572846269122059,10.954260738552469,9.715825586318969
ws7_fh3_var3,LSTM,7,3,3,3.322659639082637,10.422634857247104,9.434049057960511
ws7_fh7_var1,LSTM,7,7,1,4.513269514685507,13.75062768893746,9.719909210205078
ws7_fh7_var3,LSTM,7,7,3,4.3568727448226,13.261593963067861,9.707065224647522
