dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,TKAN,15,1,1,1.6739513427248298,5.150666559523143,49.15608131408691
ws15_fh1_var3,TKAN,15,1,3,2.163682427064549,6.9227463325177885,48.91159574985504
ws15_fh3_var1,TKAN,15,3,1,2.4113292022966535,7.5682816868555385,48.8651340007782
ws15_fh3_var3,TKAN,15,3,3,2.6687317198839047,8.238212932648603,48.947491974830626
ws15_fh7_var1,TKAN,15,7,1,3.734522824932916,11.655698061534213,49.66784647464752
ws15_fh7_var3,TKAN,15,7,3,4.024625920226113,12.212281299195665,50.49065447807312
ws30_fh1_var1,TKAN,30,1,1,2.2345515075165783,6.9784784504346655,82.11489943027496
ws30_fh1_var3,TKAN,30,1,3,2.272546780125341,7.288933162095735,81.06371221542358
ws30_fh3_var1,TKAN,30,3,1,2.4452833673185506,7.630533598897824,81.34419484615326
ws30_fh3_var3,TKAN,30,3,3,2.7163811429104157,8.36441724471979,81.40041803836823
ws30_fh7_var1,TKAN,30,7,1,3.7252126662244986,11.56614504022628,80.88970260620117
ws30_fh7_var3,TKAN,30,7,3,4.015627157041283,12.2012389384481,82.30319420814514
ws7_fh1_var1,TKAN,7,1,1,1.6583275548126468,5.1849908345687,34.250662889480594
ws7_fh1_var3,TKAN,7,1,3,2.1506923532325697,6.828758930063959,32.624147114753725
ws7_fh3_var1,TKAN,7,3,1,2.3753719571553895,7.449776140217114,32.054918789863585
ws7_fh3_var3,TKAN,7,3,3,2.7047545778082362,8.385727449745984,31.94025285720825
ws7_fh7_var1,TKAN,7,7,1,3.687644921967419,11.51763060879384,32.663330698013304
ws7_fh7_var3,TKAN,7,7,3,3.965911841053726,12.060485206815777,32.380517416000366
