dataset,ws,model,n_ahead,n_var,trainable_params,non_trainable_params,total_params
ws7_fh1_var1,7,LSTM,1,1,329,0,329
ws7_fh1_var3,7,LSTM,1,3,393,0,393
ws7_fh3_var1,7,LSTM,3,1,4451,0,4451
ws7_fh3_var3,7,LSTM,3,3,4707,0,4707
ws7_fh7_var1,7,LSTM,7,1,17351,0,17351
ws7_fh7_var3,7,LSTM,7,3,17863,0,17863
ws15_fh1_var1,15,LSTM,1,1,329,0,329
ws15_fh1_var3,15,LSTM,1,3,393,0,393
ws15_fh3_var1,15,LSTM,3,1,4451,0,4451
ws15_fh3_var3,15,LSTM,3,3,4707,0,4707
ws15_fh7_var1,15,LSTM,7,1,17351,0,17351
ws15_fh7_var3,15,LSTM,7,3,17863,0,17863
ws30_fh1_var1,30,LSTM,1,1,329,0,329
ws30_fh1_var3,30,LSTM,1,3,393,0,393
ws30_fh3_var1,30,LSTM,3,1,4451,0,4451
ws30_fh3_var3,30,LSTM,3,3,4707,0,4707
ws30_fh7_var1,30,LSTM,7,1,17351,0,17351
ws30_fh7_var3,30,LSTM,7,3,17863,0,17863
