dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,1.4489244069433207,4.473588603205812,40.89643716812134
ws7_fh1_var3,TKAN,1,7,3,2.2608145806268785,7.370612071579359,42.0552864074707
ws7_fh3_var1,TKAN,3,7,1,2.3138571592046797,7.060557315642282,45.700230836868286
ws7_fh3_var3,TKAN,3,7,3,2.5869239453481723,7.912838037535259,50.52479696273804
ws7_fh7_var1,TKAN,7,7,1,4.4033864810286465,14.385997431494651,24.924315929412842
ws7_fh7_var3,TKAN,7,7,3,4.150012018987525,13.264879971600582,25.169087409973145
ws15_fh1_var1,TKAN,1,15,1,1.574988037032844,4.945488210598805,71.77596354484558
ws15_fh1_var3,TKAN,1,15,3,1.7283018584507972,5.441555091603813,72.69612693786621
ws15_fh3_var1,TKAN,3,15,1,2.7441754978799358,8.44907143406177,45.848549604415894
ws15_fh3_var3,TKAN,3,15,3,2.6476215358242787,8.274423494961129,73.38956022262573
ws15_fh7_var1,TKAN,7,15,1,3.6520608898073115,11.239971759325668,46.44537901878357
ws15_fh7_var3,TKAN,7,15,3,3.935175561332953,11.786045059911343,47.418882608413696
ws30_fh1_var1,TKAN,1,30,1,1.6023318972215723,4.891438133804122,138.49632906913757
ws30_fh1_var3,TKAN,1,30,3,2.3817616389459686,7.483226954758784,137.12855887413025
ws30_fh3_var1,TKAN,3,30,1,2.482780961220115,7.866958610396112,130.89618158340454
ws30_fh3_var3,TKAN,3,30,3,2.5579767407606693,8.005268701530426,105.04528903961182
ws30_fh7_var1,TKAN,7,30,1,3.708893429942301,11.402181562048371,79.86403203010559
ws30_fh7_var3,TKAN,7,30,3,4.032110973301935,12.341257578143324,81.37527966499329
