dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,LSTM,1,7,1,2.5419685632641484,7.918304883930934,14.933763027191162
ws7_fh1_var3,LSTM,1,7,3,2.216424295787269,6.879071725140714,13.65360426902771
ws7_fh3_var1,LSTM,3,7,1,2.938733569217793,9.251174864549261,15.55109977722168
ws7_fh3_var3,LSTM,3,7,3,3.229708754074625,10.175832297982733,12.930495500564575
ws7_fh7_var1,LSTM,7,7,1,4.1811056000367,12.991094936070688,15.707427501678467
ws7_fh7_var3,LSTM,7,7,3,4.329277477457237,13.35777254423672,12.14999771118164
ws15_fh1_var1,LSTM,1,15,1,1.9927161325897118,6.316711726369485,14.163020133972168
ws15_fh1_var3,LSTM,1,15,3,2.2020188357280426,6.924649128935358,14.115214586257935
ws15_fh3_var1,LSTM,3,15,1,3.008672915127329,9.611999252605806,16.43865394592285
ws15_fh3_var3,LSTM,3,15,3,3.1415994770119378,9.585467044662215,15.458832263946533
ws15_fh7_var1,LSTM,7,15,1,4.395866611462351,13.649863714470994,23.27434468269348
ws15_fh7_var3,LSTM,7,15,3,4.692444526874286,14.913306517536315,12.819632530212402
ws30_fh1_var1,LSTM,1,30,1,1.835220080814156,5.712879469971958,12.947971820831299
ws30_fh1_var3,LSTM,1,30,3,2.4045441451287153,7.5324272343122,13.797966718673706
ws30_fh3_var1,LSTM,3,30,1,3.6543816741138833,12.15924023470694,15.520153999328613
ws30_fh3_var3,LSTM,3,30,3,3.4737037213683837,10.474274808672694,16.17988157272339
ws30_fh7_var1,LSTM,7,30,1,4.233582497776122,13.096778206016701,17.698091745376587
ws30_fh7_var3,LSTM,7,30,3,4.488538248612733,13.418180842451829,15.248585939407349
