dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,3.2757429291583575,12.046195484369889,43.562467098236084
ws7_fh1_var3,TKAN,1,7,3,1.9379675803193004,6.074873604718561,41.779868364334106
ws7_fh3_var1,TKAN,3,7,1,3.368803113946387,11.310321235965063,50.26382827758789
ws7_fh3_var3,TKAN,3,7,3,2.887734807399229,8.696067681737306,50.642900705337524
ws7_fh7_var1,TKAN,7,7,1,3.6418387548254336,11.194391292087417,44.168554067611694
ws7_fh7_var3,TKAN,7,7,3,3.840353235046376,11.742562399706193,61.621044397354126
ws15_fh1_var1,TKAN,1,15,1,1.5842130359986701,4.946080999699908,71.65475726127625
ws15_fh1_var3,TKAN,1,15,3,2.1069606885028875,7.022879733488374,71.31392931938171
ws15_fh3_var1,TKAN,3,15,1,2.475894904784688,7.861654516170148,147.3639841079712
ws15_fh3_var3,TKAN,3,15,3,3.266566420736579,10.61010843004755,121.04335260391235
ws15_fh7_var1,TKAN,7,15,1,3.990789061590698,12.591096765446219,62.693495750427246
ws15_fh7_var3,TKAN,7,15,3,4.38708215035548,13.395269509201736,87.53867053985596
ws30_fh1_var1,TKAN,1,30,1,2.136277320929586,6.78290364590341,134.830060005188
ws30_fh1_var3,TKAN,1,30,3,3.0362676619598368,10.34876578000449,125.08984470367432
ws30_fh3_var1,TKAN,3,30,1,3.3366563836583034,9.988830148664865,108.25579309463501
ws30_fh3_var3,TKAN,3,30,3,3.989672042786025,13.54900839436784,92.85286283493042
ws30_fh7_var1,TKAN,7,30,1,3.8175585364583906,12.175782507676171,191.7960467338562
ws30_fh7_var3,TKAN,7,30,3,4.086597771888061,13.199233207427019,167.4514079093933
