dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,LSTM,1,7,1,2.3623154114072595,7.367467947799418,13.807709693908691
ws7_fh1_var3,LSTM,1,7,3,2.284392944210459,7.188397075825287,14.221715927124023
ws7_fh3_var1,LSTM,3,7,1,2.979574172816443,9.522713760841867,15.350334644317627
ws7_fh3_var3,LSTM,3,7,3,3.285123255436794,10.92779544379045,15.556595802307129
ws7_fh7_var1,LSTM,7,7,1,4.134172074445343,12.828981416773352,15.65697693824768
ws7_fh7_var3,LSTM,7,7,3,4.513700432756271,14.039561603398248,14.768622636795044
ws15_fh1_var1,LSTM,1,15,1,2.2601253089264115,7.125864119840976,13.91142988204956
ws15_fh1_var3,LSTM,1,15,3,2.3064896193919457,7.2887978538571385,13.412577152252197
ws15_fh3_var1,LSTM,3,15,1,3.2035998214738717,10.284020487053384,16.006269931793213
ws15_fh3_var3,LSTM,3,15,3,3.4922716332577552,10.939082873352596,13.291112184524536
ws15_fh7_var1,LSTM,7,15,1,4.386389234478491,13.449490551806816,16.561569929122925
ws15_fh7_var3,LSTM,7,15,3,4.84861676231533,15.218581314700206,10.309242963790894
ws30_fh1_var1,LSTM,1,30,1,1.8960165729195482,6.032348837107327,14.92520809173584
ws30_fh1_var3,LSTM,1,30,3,2.0655632399183057,6.471067613590447,14.415796756744385
ws30_fh3_var1,LSTM,3,30,1,3.603404059583207,11.660544503273698,13.06989336013794
ws30_fh3_var3,LSTM,3,30,3,3.9252137802226654,11.765896281828422,13.869653940200806
ws30_fh7_var1,LSTM,7,30,1,4.241337573400952,12.896792319131603,16.756579399108887
ws30_fh7_var3,LSTM,7,30,3,4.309264008197966,13.075276617859878,14.701781749725342
