dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,1.6871516002012161,5.241063251835843,71.35131001472473
ws7_fh1_var3,TKAN,1,7,3,1.9391735155574608,6.214942427447691,75.13726019859314
ws7_fh3_var1,TKAN,3,7,1,2.5834709591687672,7.979993379365026,71.92214775085449
ws7_fh3_var3,TKAN,3,7,3,2.9503258910821524,9.127734298992799,58.7539427280426
ws7_fh7_var1,TKAN,7,7,1,3.862586937782594,11.901735155235658,53.02076292037964
ws7_fh7_var3,TKAN,7,7,3,4.076092845434405,12.628500116736136,45.99934267997742
ws15_fh1_var1,TKAN,1,15,1,1.8448202093791293,5.855393405328114,137.82378578186035
ws15_fh1_var3,TKAN,1,15,3,2.446784350449921,7.833179970818025,146.6627790927887
ws15_fh3_var1,TKAN,3,15,1,2.527251062578809,7.864159257990135,125.20766973495483
ws15_fh3_var3,TKAN,3,15,3,3.0635580844607446,9.724291279909313,111.16356110572815
ws15_fh7_var1,TKAN,7,15,1,3.838202876882622,11.683928732746812,89.91198992729187
ws15_fh7_var3,TKAN,7,15,3,4.018226919823208,11.980158178934104,111.61281061172485
ws30_fh1_var1,TKAN,1,30,1,2.2062859566969957,6.753861894056333,241.94990253448486
ws30_fh1_var3,TKAN,1,30,3,3.5839075331545294,12.377035230041667,241.0727481842041
ws30_fh3_var1,TKAN,3,30,1,3.082352619602523,9.243358641266731,246.7376971244812
ws30_fh3_var3,TKAN,3,30,3,3.01331550552321,9.336910925570002,246.8096764087677
ws30_fh7_var1,TKAN,7,30,1,4.15485340316889,12.552444380955945,187.3861391544342
ws30_fh7_var3,TKAN,7,30,3,4.289060599668781,13.204120557581916,246.98857712745667
