dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,LSTM,1,7,1,2.5159225692774005,7.853294252212287,13.565199851989746
ws7_fh1_var3,LSTM,1,7,3,2.1582449922537688,6.738412349884953,13.975427627563477
ws7_fh3_var1,LSTM,3,7,1,3.1527987992722797,10.094839564918923,15.007413148880005
ws7_fh3_var3,LSTM,3,7,3,3.0511756775597854,9.624432225255536,15.077919960021973
ws7_fh7_var1,LSTM,7,7,1,4.2103545730042695,13.101256250594293,15.66335415840149
ws7_fh7_var3,LSTM,7,7,3,4.309600112194355,13.3866820113661,11.533580541610718
ws15_fh1_var1,LSTM,1,15,1,2.5023643411715923,7.888884955073146,14.182236671447754
ws15_fh1_var3,LSTM,1,15,3,2.184019348660668,6.907999751566324,13.203203439712524
ws15_fh3_var1,LSTM,3,15,1,3.0367992102658525,9.660271310771774,14.93963074684143
ws15_fh3_var3,LSTM,3,15,3,3.3391346859586393,10.729167210731646,14.926931142807007
ws15_fh7_var1,LSTM,7,15,1,4.408351100987821,13.637246252774066,14.876160144805908
ws15_fh7_var3,LSTM,7,15,3,4.247893561820106,12.879666044038135,14.904446125030518
ws30_fh1_var1,LSTM,1,30,1,2.3437650899745064,7.348425737036799,13.65183424949646
ws30_fh1_var3,LSTM,1,30,3,2.052629782717839,6.6136869191433,13.978325605392456
ws30_fh3_var1,LSTM,3,30,1,3.1517740716742053,10.258237331319444,14.1262948513031
ws30_fh3_var3,LSTM,3,30,3,3.15577869615761,9.85247127437751,14.58850622177124
ws30_fh7_var1,LSTM,7,30,1,5.1808957377883464,17.386466344849573,17.25948429107666
ws30_fh7_var3,LSTM,7,30,3,4.5196096924165605,14.00057926526397,12.610599756240845
