dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,1.5177446971387352,4.698865170683579,39.786699295043945
ws7_fh1_var3,TKAN,1,7,3,2.657916631719113,8.516749122936757,43.04362201690674
ws7_fh3_var1,TKAN,3,7,1,2.3190763894930058,7.186072169994572,42.81846880912781
ws7_fh3_var3,TKAN,3,7,3,2.79266208388276,8.541442587535398,42.59931421279907
ws7_fh7_var1,TKAN,7,7,1,3.720182412048887,11.022882710290695,36.7236864566803
ws7_fh7_var3,TKAN,7,7,3,3.997039153258928,12.346312226235066,36.077919244766235
ws15_fh1_var1,TKAN,1,15,1,1.4694218571370017,4.483790974525047,68.79845762252808
ws15_fh1_var3,TKAN,1,15,3,1.9169759974652274,5.874210587691178,73.58576917648315
ws15_fh3_var1,TKAN,3,15,1,2.409154803273767,7.300543703819086,67.93853521347046
ws15_fh3_var3,TKAN,3,15,3,2.6004812175747642,8.110792832897715,63.366137742996216
ws15_fh7_var1,TKAN,7,15,1,3.7772620500860996,11.20007172402898,55.030218839645386
ws15_fh7_var3,TKAN,7,15,3,4.116292644885252,12.537901054326209,61.92515206336975
ws30_fh1_var1,TKAN,1,30,1,3.3015285220738,10.517627563481192,137.1656928062439
ws30_fh1_var3,TKAN,1,30,3,2.0748616845009393,6.5577683681787775,138.68064665794373
ws30_fh3_var1,TKAN,3,30,1,2.3650939665869095,7.472823399851627,112.09598112106323
ws30_fh3_var3,TKAN,3,30,3,3.0884331930323254,10.000896697912937,130.30319571495056
ws30_fh7_var1,TKAN,7,30,1,3.8072234659883755,11.275331630324056,110.84154486656189
ws30_fh7_var3,TKAN,7,30,3,4.1639148301791185,13.00711842796966,110.58313012123108
