dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,3.4662325525329782,11.231471708764305,60.53481364250183
ws7_fh1_var3,TKAN,1,7,3,5.609014240340972,18.43713821326224,46.35738658905029
ws7_fh3_var1,TKAN,3,7,1,3.892310978655816,11.839578401173782,39.825363636016846
ws7_fh3_var3,TKAN,3,7,3,4.942685641669767,16.422909958395753,40.73351502418518
ws7_fh7_var1,TKAN,7,7,1,4.900907723600694,15.061049281780337,38.5830979347229
ws7_fh7_var3,TKAN,7,7,3,5.421748707166331,17.693834264707995,41.42073464393616
ws15_fh1_var1,TKAN,1,15,1,22.027121164746227,76.01841898492879,14.934328079223633
ws15_fh1_var3,TKAN,1,15,3,5.133173604698008,16.265842022914747,69.6265504360199
ws15_fh3_var1,TKAN,3,15,1,4.431570864792056,13.715986441324496,68.63202023506165
ws15_fh3_var3,TKAN,3,15,3,4.810177392918081,16.293514814595362,68.06661319732666
ws15_fh7_var1,TKAN,7,15,1,5.214052463219387,16.141415906551753,67.99896454811096
ws15_fh7_var3,TKAN,7,15,3,5.722513248256611,19.253871187234324,69.22651672363281
ws30_fh1_var1,TKAN,1,30,1,23.439501846817095,80.9641529509292,22.01164722442627
ws30_fh1_var3,TKAN,1,30,3,4.2607713508010425,13.896278086022217,124.0642478466034
ws30_fh3_var1,TKAN,3,30,1,4.4631862767075425,13.84274233801372,129.41016483306885
ws30_fh3_var3,TKAN,3,30,3,4.844813186058243,16.538065339022836,126.24587273597717
ws30_fh7_var1,TKAN,7,30,1,5.154207251944864,15.976205468295184,125.97371554374695
ws30_fh7_var3,TKAN,7,30,3,5.338885068947131,17.809973747531945,142.33118271827698
