dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,LSTM,1,7,1,2.4086404853660706,7.524897933484505,14.327512741088867
ws7_fh1_var3,LSTM,1,7,3,2.1279536698453243,6.621943866810598,14.252605676651001
ws7_fh3_var1,LSTM,3,7,1,2.9313152915719383,9.27349828163017,16.266852855682373
ws7_fh3_var3,LSTM,3,7,3,3.3836780121582595,11.372620985791688,16.291940927505493
ws7_fh7_var1,LSTM,7,7,1,4.1932469156884284,13.060388733243208,15.931070804595947
ws7_fh7_var3,LSTM,7,7,3,4.346560901969243,13.437036650796369,13.14069128036499
ws15_fh1_var1,LSTM,1,15,1,1.8534494208280292,5.902690822689109,13.54869532585144
ws15_fh1_var3,LSTM,1,15,3,2.1938896532521777,7.0177933334624045,14.665138006210327
ws15_fh3_var1,LSTM,3,15,1,2.91622189728374,9.227584852986913,15.884442329406738
ws15_fh3_var3,LSTM,3,15,3,3.4705582926184677,10.915861123643218,15.233423233032227
ws15_fh7_var1,LSTM,7,15,1,4.400621320987009,13.714504848124944,16.95267915725708
ws15_fh7_var3,LSTM,7,15,3,5.509607758219161,16.596094226060917,12.769612073898315
ws30_fh1_var1,LSTM,1,30,1,2.2923756049752217,7.1361895782627265,15.542008399963379
ws30_fh1_var3,LSTM,1,30,3,2.278782069408041,7.157441602080176,14.446101188659668
ws30_fh3_var1,LSTM,3,30,1,2.961278493146145,9.215227288166023,17.033409595489502
ws30_fh3_var3,LSTM,3,30,3,3.5752576426763323,11.220227719664097,13.517425298690796
ws30_fh7_var1,LSTM,7,30,1,5.014236649204005,16.673981987719152,17.680692672729492
ws30_fh7_var3,LSTM,7,30,3,4.904377991770678,15.429031499160772,12.48469090461731
