dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,1.8921166516082542,5.910248257462709,41.06673789024353
ws7_fh1_var3,TKAN,1,7,3,3.574946149290096,12.078788571740159,32.20840811729431
ws7_fh3_var1,TKAN,3,7,1,2.386947062760646,7.306710751978261,33.841280460357666
ws7_fh3_var3,TKAN,3,7,3,3.0419325847732903,9.415578512838263,33.983978033065796
ws7_fh7_var1,TKAN,7,7,1,3.814576756479255,11.801046676239514,35.41148352622986
ws7_fh7_var3,TKAN,7,7,3,4.162815811729252,12.710349303926918,32.203810691833496
ws15_fh1_var1,TKAN,1,15,1,2.5204171290135458,7.912055019723568,49.83080077171326
ws15_fh1_var3,TKAN,1,15,3,4.069401671972597,14.29761573407619,50.88341307640076
ws15_fh3_var1,TKAN,3,15,1,2.4336600350883573,7.433756076039005,47.43645715713501
ws15_fh3_var3,TKAN,3,15,3,3.15983650090046,10.126439106126922,50.62346410751343
ws15_fh7_var1,TKAN,7,15,1,3.783262141124712,11.363105710200147,51.92643761634827
ws15_fh7_var3,TKAN,7,15,3,4.377981586251862,13.002268128286564,46.52890419960022
ws30_fh1_var1,TKAN,1,30,1,4.6391636378004515,14.236709282776342,71.57014179229736
ws30_fh1_var3,TKAN,1,30,3,3.1136626457671506,10.480108896632723,75.0875461101532
ws30_fh3_var1,TKAN,3,30,1,2.9499218141874803,9.156621391345926,73.27976059913635
ws30_fh3_var3,TKAN,3,30,3,3.1887671634314945,10.003280960289374,74.61177587509155
ws30_fh7_var1,TKAN,7,30,1,3.971134389147301,12.005837333963036,72.73485589027405
ws30_fh7_var3,TKAN,7,30,3,4.115363178411463,13.03954352850134,73.8755395412445
