dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,LSTM,1,7,1,2.400359907158794,7.497103431456748,14.697684049606323
ws7_fh1_var3,LSTM,1,7,3,2.0393868785689646,6.365474590122634,12.897900342941284
ws7_fh3_var1,LSTM,3,7,1,3.0804978716092926,9.721205890976519,15.992842197418213
ws7_fh3_var3,LSTM,3,7,3,3.7041072608812544,12.65832531266814,14.513027429580688
ws7_fh7_var1,LSTM,7,7,1,4.16694315383788,12.913538555933915,15.026188373565674
ws7_fh7_var3,LSTM,7,7,3,4.282794598834016,13.27968527593861,12.543322563171387
ws15_fh1_var1,LSTM,1,15,1,1.8900844984581449,5.911644887759456,13.19514012336731
ws15_fh1_var3,LSTM,1,15,3,2.0623708060585675,6.473718193020847,13.514368772506714
ws15_fh3_var1,LSTM,3,15,1,3.2145084874481826,10.147418092150891,15.022810935974121
ws15_fh3_var3,LSTM,3,15,3,4.051106256392324,13.02891274183528,11.09167766571045
ws15_fh7_var1,LSTM,7,15,1,4.50500647653792,14.160510038032806,15.832115650177002
ws15_fh7_var3,LSTM,7,15,3,4.731159440220625,14.723121090607972,8.329801797866821
ws30_fh1_var1,LSTM,1,30,1,2.0258579599678357,6.315835797805476,13.539705753326416
ws30_fh1_var3,LSTM,1,30,3,2.3067330528268055,7.240468069003595,14.03342890739441
ws30_fh3_var1,LSTM,3,30,1,2.8125921352189467,9.14372856155997,15.808121681213379
ws30_fh3_var3,LSTM,3,30,3,3.668448664093099,11.165610109802227,16.606340408325195
ws30_fh7_var1,LSTM,7,30,1,4.601568995500576,14.377445233783922,13.828908920288086
ws30_fh7_var3,LSTM,7,30,3,4.431697468648258,13.412189115537146,12.879853248596191
