dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,1.4761863358786704,4.554656961900127,80.28043174743652
ws7_fh1_var3,TKAN,1,7,3,2.1030192345553367,6.60870094172786,78.21436095237732
ws7_fh3_var1,TKAN,3,7,1,2.354369352437826,7.217380430221961,71.51786422729492
ws7_fh3_var3,TKAN,3,7,3,2.8008622166585124,8.80563291881998,67.55352997779846
ws7_fh7_var1,TKAN,7,7,1,3.8806424569610014,11.894458805372977,38.57907700538635
ws7_fh7_var3,TKAN,7,7,3,4.0772775725433075,12.160756651027139,53.23466181755066
ws15_fh1_var1,TKAN,1,15,1,2.0268421074127847,6.2163686449952085,135.3845911026001
ws15_fh1_var3,TKAN,1,15,3,3.299778438743308,10.603966358508917,134.1689305305481
ws15_fh3_var1,TKAN,3,15,1,2.4921042145585073,7.852217797545157,112.43815183639526
ws15_fh3_var3,TKAN,3,15,3,3.184758424215479,10.174914846242492,120.7850272655487
ws15_fh7_var1,TKAN,7,15,1,4.109499382058234,12.802810590374872,101.7983660697937
ws15_fh7_var3,TKAN,7,15,3,4.111281900365727,12.456249320097921,97.73430061340332
ws30_fh1_var1,TKAN,1,30,1,2.775042332443546,8.818184874982265,246.73666286468506
ws30_fh1_var3,TKAN,1,30,3,2.2503209540394806,7.066328868864177,251.77767539024353
ws30_fh3_var1,TKAN,3,30,1,2.4773108981573735,7.584440856498199,249.0363471508026
ws30_fh3_var3,TKAN,3,30,3,2.7085857947929215,8.353617700884119,244.2066569328308
ws30_fh7_var1,TKAN,7,30,1,4.038998997799833,12.241700360020467,250.10833501815796
ws30_fh7_var3,TKAN,7,30,3,4.1539064097349865,12.521054111992807,131.8147246837616
