dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,1.7050537675722277,5.267892696136581,38.97923278808594
ws7_fh1_var3,TKAN,1,7,3,2.2172419834000667,7.097965018393511,40.46308922767639
ws7_fh3_var1,TKAN,3,7,1,2.504227898289894,7.585627383741608,68.39234185218811
ws7_fh3_var3,TKAN,3,7,3,3.1522757697831243,10.263777300490396,66.28941941261292
ws7_fh7_var1,TKAN,7,7,1,3.898977371916304,11.885213833100476,50.2787652015686
ws7_fh7_var3,TKAN,7,7,3,4.716867668104658,13.697912740773727,53.91436409950256
ws15_fh1_var1,TKAN,1,15,1,1.6246713192836804,4.976165068950966,74.03353667259216
ws15_fh1_var3,TKAN,1,15,3,2.7534021198772534,8.914477561531227,71.9981017112732
ws15_fh3_var1,TKAN,3,15,1,2.5423417592476345,7.972641115025294,138.9980607032776
ws15_fh3_var3,TKAN,3,15,3,2.971174222247662,8.791582054550593,95.0378234386444
ws15_fh7_var1,TKAN,7,15,1,4.157560335047744,12.77973826385538,130.7520048618317
ws15_fh7_var3,TKAN,7,15,3,4.568699490646312,14.541793266924682,76.82028794288635
ws30_fh1_var1,TKAN,1,30,1,5.041496172496414,16.10923135678962,96.25544667243958
ws30_fh1_var3,TKAN,1,30,3,2.146201571853166,6.860875975738609,127.61034321784972
ws30_fh3_var1,TKAN,3,30,1,2.955706035469038,8.952555300087239,167.54708766937256
ws30_fh3_var3,TKAN,3,30,3,3.1750503957587832,9.705949544428744,217.48073482513428
ws30_fh7_var1,TKAN,7,30,1,4.1785432431347305,12.638343873347488,215.79260444641116
ws30_fh7_var3,TKAN,7,30,3,4.2359747389320495,12.82908438550314,242.48451781272888
ws7_fh1_var1,LSTM,1,7,1,2.372823179649434,7.402213347406415,13.228577613830566
ws7_fh1_var3,LSTM,1,7,3,2.262073921514816,7.115218575105106,12.581772804260254
ws7_fh3_var1,LSTM,3,7,1,2.9777249878734304,9.347806684872182,14.382668733596802
ws7_fh3_var3,LSTM,3,7,3,3.060698775846264,9.620228090767556,16.903276205062866
ws7_fh7_var1,LSTM,7,7,1,4.181912230339164,12.973860957180838,15.61038064956665
ws7_fh7_var3,LSTM,7,7,3,4.409177810273149,13.606171630928957,13.40288519859314
ws15_fh1_var1,LSTM,1,15,1,2.022347946753433,6.36745443049656,13.22587823867798
ws15_fh1_var3,LSTM,1,15,3,1.9382218523802612,6.092933986695429,13.688617944717407
ws15_fh3_var1,LSTM,3,15,1,3.0433134667183377,9.32561616126042,15.534229516983032
ws15_fh3_var3,LSTM,3,15,3,3.593621932285457,11.739908179455378,13.895177364349363
ws15_fh7_var1,LSTM,7,15,1,4.946648081590557,16.26468505771087,15.364874839782717
ws15_fh7_var3,LSTM,7,15,3,5.8326408001361525,19.811091463016268,11.929728031158447
ws30_fh1_var1,LSTM,1,30,1,1.904564438349345,5.921816353762718,14.454181671142578
ws30_fh1_var3,LSTM,1,30,3,2.050543101097522,6.515485290194786,15.92371702194214
ws30_fh3_var1,LSTM,3,30,1,3.2333829144487787,10.455811135856589,18.8872172832489
ws30_fh3_var3,LSTM,3,30,3,3.798983497255455,11.742405488556289,12.359416484832764
ws30_fh7_var1,LSTM,7,30,1,4.708917340638915,15.253690233045369,15.706540822982788
ws30_fh7_var3,LSTM,7,30,3,4.881063825185649,15.901621037937964,11.060670137405396
