dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,1.7050537675722277,5.267892696136581,38.97923278808594
ws7_fh1_var3,TKAN,1,7,3,2.2172419834000667,7.097965018393511,40.46308922767639
ws7_fh3_var1,TKAN,3,7,1,2.504227898289894,7.585627383741608,68.39234185218811
ws7_fh3_var3,TKAN,3,7,3,3.1522757697831243,10.263777300490396,66.28941941261292
ws7_fh7_var1,TKAN,7,7,1,3.8989773719163043,11.885213833100476,50.2787652015686
ws7_fh7_var3,TKAN,7,7,3,4.716867668104658,13.697912740773727,53.91436409950256
ws15_fh1_var1,TKAN,1,15,1,1.6246713192836804,4.976165068950966,74.03353667259216
ws15_fh1_var3,TKAN,1,15,3,2.7534021198772534,8.914477561531227,71.9981017112732
ws15_fh3_var1,TKAN,3,15,1,2.5423417592476345,7.972641115025294,138.9980607032776
ws15_fh3_var3,TKAN,3,15,3,2.971174222247662,8.791582054550593,95.03782343864441
ws15_fh7_var1,TKAN,7,15,1,4.157560335047744,12.77973826385538,130.75200486183167
ws15_fh7_var3,TKAN,7,15,3,4.568699490646312,14.541793266924682,76.82028794288635
ws30_fh1_var1,TKAN,1,30,1,5.041496172496414,16.10923135678962,96.25544667243958
ws30_fh1_var3,TKAN,1,30,3,2.146201571853166,6.860875975738609,127.61034321784973
ws30_fh3_var1,TKAN,3,30,1,2.955706035469038,8.952555300087239,167.54708766937256
ws30_fh3_var3,TKAN,3,30,3,3.1750503957587832,9.705949544428744,217.48073482513428
ws30_fh7_var1,TKAN,7,30,1,4.1785432431347305,12.638343873347488,215.79260444641113
ws30_fh7_var3,TKAN,7,30,3,4.2359747389320495,12.829084385503139,242.48451781272888
