dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,LSTM,1,7,1,2.386269039551064,7.43572260982375,13.75978708267212
ws7_fh1_var3,LSTM,1,7,3,2.090034243879641,6.629587823337335,13.96900224685669
ws7_fh3_var1,LSTM,3,7,1,3.047604624390892,9.630471450501101,15.477988958358765
ws7_fh3_var3,LSTM,3,7,3,3.0469460452243355,9.44087118309324,16.56802248954773
ws7_fh7_var1,LSTM,7,7,1,4.188652760929621,13.030661270344012,15.096024751663208
ws7_fh7_var3,LSTM,7,7,3,4.426607323887623,13.77494920702301,13.572554349899292
ws15_fh1_var1,LSTM,1,15,1,1.627721301908903,5.107493749366408,13.762296438217163
ws15_fh1_var3,LSTM,1,15,3,2.0186503172834454,6.32945018693101,14.144126892089844
ws15_fh3_var1,LSTM,3,15,1,3.154225197245126,10.169956430591387,13.921499252319336
ws15_fh3_var3,LSTM,3,15,3,4.23752210096495,12.72780242721151,11.511312246322632
ws15_fh7_var1,LSTM,7,15,1,4.490182496511779,14.122471660087218,15.565953016281128
ws15_fh7_var3,LSTM,7,15,3,4.713236210859962,14.569977357235791,10.998671054840088
ws30_fh1_var1,LSTM,1,30,1,2.1336007170971634,6.712653402794872,14.048144102096558
ws30_fh1_var3,LSTM,1,30,3,2.1422072718553578,6.6784994052338,14.4559645652771
ws30_fh3_var1,LSTM,3,30,1,2.8908297744479188,9.256864422206402,16.430765628814697
ws30_fh3_var3,LSTM,3,30,3,3.344324070759875,10.25576579501734,16.423497676849365
ws30_fh7_var1,LSTM,7,30,1,4.273981550164338,12.86585005250135,16.46855092048645
ws30_fh7_var3,LSTM,7,30,3,4.986443312322684,15.62291617309724,10.023380994796753
