dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,1.66170383135059,5.081781785692593,57.086849212646484
ws7_fh1_var3,TKAN,1,7,3,2.4751173750863056,7.623537568364172,47.28543543815613
ws7_fh3_var1,TKAN,3,7,1,2.510824094031335,7.806142973481959,46.490684032440186
ws7_fh3_var3,TKAN,3,7,3,3.112300898116074,10.169749012733204,47.86901497840881
ws7_fh7_var1,TKAN,7,7,1,3.6631508551089293,11.13917610737102,52.72170639038086
ws7_fh7_var3,TKAN,7,7,3,4.122774531007045,12.670094212290975,50.008437156677246
ws15_fh1_var1,TKAN,1,15,1,2.2164682997835494,6.827319951847619,72.75057196617126
ws15_fh1_var3,TKAN,1,15,3,2.8376316079814643,9.70260513907228,74.0165753364563
ws15_fh3_var1,TKAN,3,15,1,2.5117354439925275,7.606496715434327,73.63396906852722
ws15_fh3_var3,TKAN,3,15,3,2.79949466714052,8.780092712829626,79.2263240814209
ws15_fh7_var1,TKAN,7,15,1,3.8258205554014806,11.73269252540757,43.2046332359314
ws15_fh7_var3,TKAN,7,15,3,4.2275795207965094,12.514308733805885,67.75738382339478
ws30_fh1_var1,TKAN,1,30,1,2.7290252497185485,8.234134327885915,133.70025515556335
ws30_fh1_var3,TKAN,1,30,3,1.9832130233256893,6.124296728420074,126.59146809577942
ws30_fh3_var1,TKAN,3,30,1,2.499034215708885,7.58534642666475,134.83898425102234
ws30_fh3_var3,TKAN,3,30,3,3.839522951736568,13.035702680159508,132.23944759368896
ws30_fh7_var1,TKAN,7,30,1,3.759126873789388,11.306168066314788,135.04094552993774
ws30_fh7_var3,TKAN,7,30,3,4.172518489409965,12.885198561795965,75.39014267921448
