dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,LSTM,1,7,1,2.372823179649434,7.402213347406415,13.228577613830566
ws7_fh1_var3,LSTM,1,7,3,2.2620739215148156,7.115218575105106,12.581772804260254
ws7_fh3_var1,LSTM,3,7,1,2.9777249878734304,9.347806684872182,14.382668733596802
ws7_fh3_var3,LSTM,3,7,3,3.0606987758462636,9.620228090767556,16.903276205062866
ws7_fh7_var1,LSTM,7,7,1,4.181912230339164,12.973860957180838,15.61038064956665
ws7_fh7_var3,LSTM,7,7,3,4.409177810273149,13.606171630928957,13.40288519859314
ws15_fh1_var1,LSTM,1,15,1,2.022347946753433,6.36745443049656,13.225878238677979
ws15_fh1_var3,LSTM,1,15,3,1.9382218523802615,6.092933986695429,13.688617944717407
ws15_fh3_var1,LSTM,3,15,1,3.0433134667183377,9.32561616126042,15.534229516983032
ws15_fh3_var3,LSTM,3,15,3,3.593621932285457,11.739908179455378,13.895177364349365
ws15_fh7_var1,LSTM,7,15,1,4.946648081590557,16.26468505771087,15.364874839782715
ws15_fh7_var3,LSTM,7,15,3,5.8326408001361525,19.811091463016268,11.929728031158447
ws30_fh1_var1,LSTM,1,30,1,1.904564438349345,5.921816353762718,14.454181671142578
ws30_fh1_var3,LSTM,1,30,3,2.050543101097522,6.515485290194786,15.923717021942139
ws30_fh3_var1,LSTM,3,30,1,3.2333829144487787,10.455811135856589,18.8872172832489
ws30_fh3_var3,LSTM,3,30,3,3.798983497255455,11.742405488556289,12.359416484832764
ws30_fh7_var1,LSTM,7,30,1,4.708917340638915,15.253690233045369,15.706540822982788
ws30_fh7_var3,LSTM,7,30,3,4.881063825185649,15.901621037937963,11.060670137405396
