dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,1.640935292682962,5.0522929889412485,61.042364835739136
ws7_fh1_var3,TKAN,1,7,3,3.0042317189656194,9.874061759738709,40.30764842033386
ws7_fh3_var1,TKAN,3,7,1,2.5383573270021964,7.899142334316535,67.0142912864685
ws7_fh3_var3,TKAN,3,7,3,2.9198587974345225,8.968569360276291,76.75042343139648
ws7_fh7_var1,TKAN,7,7,1,3.7517681192264773,11.432911283546291,70.2927827835083
ws7_fh7_var3,TKAN,7,7,3,4.2639898252783395,13.175872595400728,63.473801374435425
ws15_fh1_var1,TKAN,1,15,1,2.803261353357656,8.449577461852504,67.53327322006226
ws15_fh1_var3,TKAN,1,15,3,2.21701191213039,7.066347450680331,68.32514357566833
ws15_fh3_var1,TKAN,3,15,1,2.672843813998086,8.048816663667703,135.1517162322998
ws15_fh3_var3,TKAN,3,15,3,3.279488277615734,9.747420206079111,106.98144912719727
ws15_fh7_var1,TKAN,7,15,1,3.803318462944899,11.531034012914533,117.92518758773804
ws15_fh7_var3,TKAN,7,15,3,4.290354469935368,13.052233106728881,102.39406180381775
ws30_fh1_var1,TKAN,1,30,1,1.5464198761645098,4.653796810554882,137.2221212387085
ws30_fh1_var3,TKAN,1,30,3,2.8199576377800093,9.16927997489709,131.68051481246948
ws30_fh3_var1,TKAN,3,30,1,3.036317379154177,9.112295379634705,208.89432978630066
ws30_fh3_var3,TKAN,3,30,3,3.1684622672596463,9.621464061251455,247.88480305671692
ws30_fh7_var1,TKAN,7,30,1,4.189945997181419,12.613438834980817,139.35075449943542
ws30_fh7_var3,TKAN,7,30,3,4.581560306941026,13.342447704165128,198.53573775291443
