dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,LSTM,15,1,1,3.45169939629333,10.767127001697492,9.519073915481567
ws15_fh1_var3,LSTM,15,1,3,3.8734658044766697,12.982704775852486,9.45973128080368
ws15_fh3_var1,LSTM,15,3,1,3.7860198515637515,11.577228755476181,9.838885879516601
ws15_fh3_var3,LSTM,15,3,3,3.4407727161743438,10.731741497020924,10.124753963947295
ws15_fh7_var1,LSTM,15,7,1,4.818319852161798,14.70935360012957,10.404507040977478
ws15_fh7_var3,LSTM,15,7,3,4.535601294585332,13.628453487404098,10.308448278903962
ws30_fh1_var1,LSTM,30,1,1,3.654165195690021,11.453303243226376,10.573708152770996
ws30_fh1_var3,LSTM,30,1,3,3.747043503046945,12.63966709134017,10.613179099559783
ws30_fh3_var1,LSTM,30,3,1,3.7338188307473055,11.473856176961801,11.496961641311646
ws30_fh3_var3,LSTM,30,3,3,3.378346104386184,10.456034857134558,11.598561656475066
ws30_fh7_var1,LSTM,30,7,1,4.751797404906575,14.615943778447933,11.219970607757569
ws30_fh7_var3,LSTM,30,7,3,4.548811288831759,13.596022889335355,11.228590059280396
ws7_fh1_var1,LSTM,7,1,1,3.3733430175311376,10.639354586186915,9.39730384349823
ws7_fh1_var3,LSTM,7,1,3,3.7041923908615195,12.64786102811699,9.460181593894958
ws7_fh3_var1,LSTM,7,3,1,3.5624439795912735,10.923325709125217,10.048479855060577
ws7_fh3_var3,LSTM,7,3,3,3.2826936639412416,10.272960519358861,9.455869317054749
ws7_fh7_var1,LSTM,7,7,1,4.514777998683957,13.754034650908585,9.624999403953552
ws7_fh7_var3,LSTM,7,7,3,4.359767215080989,13.289979524759115,9.497846484184265
