dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh1_var1,TKAN,1,7,1,1.425782910847404,4.259898694147495,30.189379453659058,0
ws7_fh1_var3,TKAN,1,7,3,2.2007266319534153,7.190734774569287,30.97898268699646,0
ws7_fh3_var1,TKAN,3,7,1,2.5640229574237132,8.12200768317788,30.473002195358276,0
ws7_fh3_var3,TKAN,3,7,3,2.7330998762382306,8.487088339929809,30.377994298934937,0
ws7_fh7_var1,TKAN,7,7,1,3.764327826311134,11.380288029009195,30.301963806152344,0
ws7_fh7_var3,TKAN,7,7,3,4.159114822359377,13.164898717969589,30.53124475479126,0
ws15_fh1_var1,TKAN,1,15,1,1.6893644422382321,5.095142898978015,46.60243225097656,0
ws15_fh1_var3,TKAN,1,15,3,2.3458052741795745,7.650138098700886,46.30599880218506,0
ws15_fh3_var1,TKAN,3,15,1,2.388227876754555,7.45272929718497,46.10365867614746,0
ws15_fh3_var3,TKAN,3,15,3,2.57603606424516,7.921443164229955,54.59752297401428,0
ws15_fh7_var1,TKAN,7,15,1,3.6958329786801474,11.40902974291184,45.94963479042053,0
ws15_fh7_var3,TKAN,7,15,3,4.129090615320193,12.158561246567642,45.99986934661865,0
ws30_fh1_var1,TKAN,1,30,1,1.7460500406723902,5.364204946376243,77.02050018310547,0
ws30_fh1_var3,TKAN,1,30,3,1.985726544550384,6.071049208661152,76.00928163528442,0
ws30_fh3_var1,TKAN,3,30,1,2.445916576458312,7.658003761234908,75.81667947769165,0
ws30_fh3_var3,TKAN,3,30,3,2.6539645516472663,8.222163443362666,76.12427544593811,0
ws30_fh7_var1,TKAN,7,30,1,3.642380387200749,11.007010464530351,75.87118530273438,0
ws30_fh7_var3,TKAN,7,30,3,4.136175610570158,12.808601602334408,76.24260258674622,0
ws7_fh1_var1,TKAN,1,7,1,1.5292704623592777,4.654612570705745,39.4871551990509,1
ws7_fh1_var3,TKAN,1,7,3,2.1754929864503265,6.925680956057077,29.703012943267822,1
ws7_fh3_var1,TKAN,3,7,1,2.3935935612734607,7.404217715348908,29.578659534454346,1
ws7_fh3_var3,TKAN,3,7,3,2.671428212059002,8.407520435039372,29.544881343841553,1
ws7_fh7_var1,TKAN,7,7,1,3.6385544151164346,11.256638185675035,29.751847982406616,1
ws7_fh7_var3,TKAN,7,7,3,3.9646972970531698,12.008933044392485,29.902547359466553,1
ws15_fh1_var1,TKAN,1,15,1,1.8805677187702325,5.660094407139636,46.03492712974548,1
ws15_fh1_var3,TKAN,1,15,3,2.355092919502448,7.636147620169474,45.7060751914978,1
ws15_fh3_var1,TKAN,3,15,1,2.3015064436471895,6.935926107750948,45.711371421813965,1
ws15_fh3_var3,TKAN,3,15,3,2.529969169593101,7.7699249535087915,45.63551211357117,1
ws15_fh7_var1,TKAN,7,15,1,3.8122149825203278,12.008675518747765,45.66212701797485,1
ws15_fh7_var3,TKAN,7,15,3,4.1823001210975725,12.802861025857384,47.39352798461914,1
ws30_fh1_var1,TKAN,1,30,1,2.1655083644448845,6.679916096622093,77.2737193107605,1
ws30_fh1_var3,TKAN,1,30,3,1.9796392718007736,6.356013675290365,76.82572770118713,1
ws30_fh3_var1,TKAN,3,30,1,2.336124341865591,7.326095179786692,76.74492287635803,1
ws30_fh3_var3,TKAN,3,30,3,2.7297809529422206,8.407094217520967,76.7660698890686,1
ws30_fh7_var1,TKAN,7,30,1,3.6893098369527464,11.173694487272314,76.44606447219849,1
ws30_fh7_var3,TKAN,7,30,3,3.911410427863773,11.671992300624364,76.16820049285889,1
ws7_fh1_var1,TKAN,1,7,1,1.5879166183186018,4.910435725853337,29.802847862243652,2
ws7_fh1_var3,TKAN,1,7,3,1.9855523954881418,6.191987316533732,30.201065063476562,2
ws7_fh3_var1,TKAN,3,7,1,2.4212440398352038,7.689203684062404,30.364092111587524,2
ws7_fh3_var3,TKAN,3,7,3,2.771554237959901,8.910192961455666,29.917572021484375,2
ws7_fh7_var1,TKAN,7,7,1,3.6276500990944758,11.181414699524352,43.925220251083374,2
ws7_fh7_var3,TKAN,7,7,3,4.1506976290544335,12.483484197724547,30.408483266830444,2
ws15_fh1_var1,TKAN,1,15,1,1.3728938219451052,4.143341948804938,46.42917227745056,2
ws15_fh1_var3,TKAN,1,15,3,1.9952438179370182,6.126286732543053,46.45977807044983,2
ws15_fh3_var1,TKAN,3,15,1,2.3053392306200533,7.013285507691575,45.99412298202515,2
ws15_fh3_var3,TKAN,3,15,3,2.6181431858642377,8.123512575693839,46.11542320251465,2
