dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,TKAN,15,1,1,1.5968884215796841,4.825711011472451,49.73239097595215
ws15_fh1_var3,TKAN,15,1,3,2.237426134089744,7.341483876710865,49.75834612846374
ws15_fh3_var1,TKAN,15,3,1,2.3403074370167256,7.296713317013849,49.42622046470642
ws15_fh3_var3,TKAN,15,3,3,2.67188877356683,8.293292731326762,49.6147180557251
ws15_fh7_var1,TKAN,15,7,1,3.6272489843571423,11.167623271313754,49.33784165382385
ws15_fh7_var3,TKAN,15,7,3,4.064032521311026,12.335605627581378,49.331020259857176
ws30_fh1_var1,TKAN,30,1,1,2.1544467898466855,6.512756089899187,81.82045679092407
ws30_fh1_var3,TKAN,30,1,3,2.308057686648263,7.421041718129845,81.30243611335754
ws30_fh3_var1,TKAN,30,3,1,2.4276687537705612,7.681755386918207,81.44081988334656
ws30_fh3_var3,TKAN,30,3,3,2.6578652409770704,8.210771967047624,81.75080771446228
ws30_fh7_var1,TKAN,30,7,1,3.7265891109975753,11.581641082455723,81.71942210197449
ws30_fh7_var3,TKAN,30,7,3,3.953748651980395,11.994777552091971,91.247234249115
ws7_fh1_var1,TKAN,7,1,1,1.6363581552318855,5.081310483148139,39.97182826995849
ws7_fh1_var3,TKAN,7,1,3,2.6955275326213597,8.964051421367817,32.21146717071533
ws7_fh3_var1,TKAN,7,3,1,2.4415102986749693,7.690296880383644,32.172991609573366
ws7_fh3_var3,TKAN,7,3,3,2.740399079387889,8.493645036692953,31.990571355819704
ws7_fh7_var1,TKAN,7,7,1,3.6575306572095996,11.408593790883119,39.84511914253235
ws7_fh7_var3,TKAN,7,7,3,3.9237631172420806,11.985520064617699,32.162404680252074
