dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh1_var1,LSTM,1,7,1,3.136070613091009,9.755219775678324,10.312574863433838,1
ws7_fh1_var3,LSTM,1,7,3,4.11364446859585,14.302283738769738,9.864253282546995,1
ws7_fh3_var1,LSTM,3,7,1,3.7128780470715776,11.394389108372808,8.982558727264404,1
ws7_fh3_var3,LSTM,3,7,3,3.1975454906644303,10.106751958446749,9.409178733825684,1
ws7_fh7_var1,LSTM,7,7,1,4.486160071094292,13.676603156634354,10.032421112060549,1
ws7_fh7_var3,LSTM,7,7,3,4.378691289003781,13.372434748839243,9.952444314956663,1
ws15_fh1_var1,LSTM,1,15,1,3.757419033443711,11.835900131320567,9.68475580215454,1
ws15_fh1_var3,LSTM,1,15,3,3.401839026717274,11.011890508331554,10.289284706115724,1
ws15_fh3_var1,LSTM,3,15,1,3.8834718551413134,11.867164095693468,10.95180368423462,1
ws15_fh3_var3,LSTM,3,15,3,3.820420170788161,11.92107958878166,10.631264209747314,1
ws15_fh7_var1,LSTM,7,15,1,4.77938589124625,14.534263396940275,10.663814306259155,1
ws15_fh7_var3,LSTM,7,15,3,4.622536982207352,13.690123577226547,10.67850375175476,1
ws30_fh1_var1,LSTM,1,30,1,3.2895064390903554,10.243649403557626,12.56505036354065,1
ws30_fh1_var3,LSTM,1,30,3,3.3415613393419985,10.39240907642049,10.381848096847534,1
ws30_fh3_var1,LSTM,3,30,1,3.605436699142047,11.074102921829304,11.176923513412476,1
ws30_fh3_var3,LSTM,3,30,3,3.1514195484219214,9.84291588009509,10.832041263580322,1
ws30_fh7_var1,LSTM,7,30,1,4.746763692805128,14.3221207393763,11.441625595092772,1
ws30_fh7_var3,LSTM,7,30,3,4.473339141051855,13.499451077781638,11.513240337371826,1
ws7_fh1_var1,LSTM,1,7,1,3.8702886466252218,12.260729560660506,10.347898483276367,2
ws7_fh1_var3,LSTM,1,7,3,3.2371860158445,10.403868502977438,10.468490600585938,2
ws7_fh3_var1,LSTM,3,7,1,3.5206648259463185,10.79250137349283,9.957934379577637,2
ws7_fh3_var3,LSTM,3,7,3,3.3422233013346685,10.604004113457393,9.617461919784546,2
ws7_fh7_var1,LSTM,7,7,1,4.508346384867575,13.735343168901428,9.846577882766724,2
ws7_fh7_var3,LSTM,7,7,3,4.35417278567736,13.225991440008457,9.439963817596436,2
ws15_fh1_var1,LSTM,1,15,1,3.4960251097459203,10.786264848659773,8.913218975067139,2
ws15_fh1_var3,LSTM,1,15,3,4.372882092003131,15.238181107656407,10.747896194458008,2
ws15_fh3_var1,LSTM,3,15,1,3.7188925958012864,11.38469113844339,11.371662139892578,2
ws15_fh3_var3,LSTM,3,15,3,3.444803030371154,10.656299337914692,10.579821109771729,2
ws15_fh7_var1,LSTM,7,15,1,4.815133346658971,14.366401127629508,11.2654767036438,2
ws15_fh7_var3,LSTM,7,15,3,4.45926277832506,13.543607263920432,11.025891542434692,2
ws30_fh1_var1,LSTM,1,30,1,3.834300718410524,11.98592064912872,10.693241357803345,2
ws30_fh1_var3,LSTM,1,30,3,4.001998127971127,13.629997114682087,11.283119916915894,2
ws30_fh3_var1,LSTM,3,30,1,3.507082161889416,10.799162729538502,11.393197774887083,2
ws30_fh3_var3,LSTM,3,30,3,3.4673310644278312,10.897881366839062,11.988008499145508,2
ws30_fh7_var1,LSTM,7,30,1,4.8407585989075015,14.736955093934846,11.916399717330933,2
ws30_fh7_var3,LSTM,7,30,3,4.474150485988265,13.295989732734922,11.17852258682251,2
ws7_fh1_var1,LSTM,1,7,1,3.891035179973981,12.336469255770456,10.111468076705933,3
ws7_fh1_var3,LSTM,1,7,3,4.927817993935004,16.831554789774067,10.666470050811768,3
