dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,LSTM,15,1,1,3.4669310082742952,10.82863908569653,9.718530740737915
ws15_fh1_var3,LSTM,15,1,3,3.6886609911675747,12.442264841217082,9.38652193069458
ws15_fh3_var1,LSTM,15,3,1,3.8249433736164606,11.694826400632842,10.045738744735718
ws15_fh3_var3,LSTM,15,3,3,3.472490284741269,10.82283838079627,10.071756386756897
ws15_fh7_var1,LSTM,15,7,1,4.861861913377598,14.891617830404073,10.293014230728149
ws15_fh7_var3,LSTM,15,7,3,4.554375073311977,13.817981418256865,10.076082901954651
ws30_fh1_var1,LSTM,30,1,1,3.4646116066686483,10.792825078483562,10.748282113075255
ws30_fh1_var3,LSTM,30,1,3,3.812926817344477,12.797717987857776,10.821699318885804
ws30_fh3_var1,LSTM,30,3,1,3.7773089805680224,11.603624444826528,11.083430113792419
ws30_fh3_var3,LSTM,30,3,3,3.4226492474616568,10.589931125248258,11.226287937164306
ws30_fh7_var1,LSTM,30,7,1,4.748803793623796,14.572118938966048,11.31751492023468
ws30_fh7_var3,LSTM,30,7,3,4.535514660186647,13.537983329169345,10.985957689285279
ws7_fh1_var1,LSTM,7,1,1,3.393016498029159,10.682087881272738,9.46903742313385
ws7_fh1_var3,LSTM,7,1,3,4.046355059834131,13.901674652961606,9.217601447105407
ws7_fh3_var1,LSTM,7,3,1,3.5858880961785955,10.996267493429992,9.194186310768128
ws7_fh3_var3,LSTM,7,3,3,3.340677194284687,10.504585577983276,9.328073740005493
ws7_fh7_var1,LSTM,7,7,1,4.523820558848632,13.784061694784084,9.536743741035462
ws7_fh7_var3,LSTM,7,7,3,4.3613770471922235,13.25247971043347,9.418768563270568
