dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh1_var1,LSTM,1,7,1,3.2254607532095503,10.149248045259556,11.425855875015259,0
ws7_fh1_var3,LSTM,1,7,3,3.0869506077822453,10.281908515074218,9.728937149047852,0
ws7_fh3_var1,LSTM,3,7,1,3.413523088790876,10.45239541183936,9.767723798751831,0
ws7_fh3_var3,LSTM,3,7,3,3.3946023346111636,10.793478093803625,8.697891473770142,0
ws7_fh7_var1,LSTM,7,7,1,4.529303350714302,13.788058381476528,9.475265264511108,0
ws7_fh7_var3,LSTM,7,7,3,4.3208328179723665,13.035423121937455,10.112086772918701,0
ws15_fh1_var1,LSTM,1,15,1,3.689550541905819,11.58132282841967,9.863760709762573,0
ws15_fh1_var3,LSTM,1,15,3,5.532110839775163,19.579107760799985,10.824145317077637,0
ws15_fh3_var1,LSTM,3,15,1,3.8105480319429046,11.648607118394553,10.18234634399414,0
ws15_fh3_var3,LSTM,3,15,3,3.4127406716864965,10.725071667336216,10.247574806213379,0
ws15_fh7_var1,LSTM,7,15,1,4.765511813356421,14.373496380198144,11.317671060562134,0
ws15_fh7_var3,LSTM,7,15,3,4.439928990852141,13.35437328624208,10.745556831359863,0
ws30_fh1_var1,LSTM,1,30,1,3.4859113297914686,10.891548823877512,10.115877866744995,0
ws30_fh1_var3,LSTM,1,30,3,4.488006122400956,15.936804780449856,10.44234848022461,0
ws30_fh3_var1,LSTM,3,30,1,3.732767731795896,11.456956675489867,10.638870477676392,0
ws30_fh3_var3,LSTM,3,30,3,3.405765137017301,10.550426796328368,10.222278118133545,0
ws30_fh7_var1,LSTM,7,30,1,4.7466475123407905,14.408375922161126,11.538856029510498,0
ws30_fh7_var3,LSTM,7,30,3,4.686797749110968,13.673457909138806,11.191821336746216,0
ws7_fh1_var1,LSTM,1,7,1,3.3462256535360453,10.627076297583667,9.34052062034607,1
ws7_fh1_var3,LSTM,1,7,3,3.9087432953903254,13.676192298842743,9.39286994934082,1
ws7_fh3_var1,LSTM,3,7,1,3.5260851243784788,10.813175952245548,9.10724139213562,1
ws7_fh3_var3,LSTM,3,7,3,3.3311829662637504,10.41630882511464,8.60872220993042,1
ws7_fh7_var1,LSTM,7,7,1,4.544383551380113,13.854206197548837,9.527522087097168,1
ws7_fh7_var3,LSTM,7,7,3,4.337746424771499,13.207494731254709,9.486716032028198,1
ws15_fh1_var1,LSTM,1,15,1,3.0359546056198923,9.41498409465308,9.3284912109375,1
ws15_fh1_var3,LSTM,1,15,3,3.0896221539986453,10.0622511407958,9.961394548416138,1
ws15_fh3_var1,LSTM,3,15,1,4.049941115120159,12.37274348822562,9.703129529953003,1
ws15_fh3_var3,LSTM,3,15,3,3.164927069408658,9.783139026295041,9.7593994140625,1
ws15_fh7_var1,LSTM,7,15,1,4.67355867054507,14.2144260262354,10.282557725906372,1
ws15_fh7_var3,LSTM,7,15,3,4.465154695881784,13.515277410502888,9.7598135471344,1
ws30_fh1_var1,LSTM,1,30,1,3.3678415166063043,10.285927580940465,10.530062675476074,1
