dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh1_var1,TKAN,1,7,1,1.6662948482414741,5.324341991436256,33.00100541114807,0
ws7_fh1_var3,TKAN,1,7,3,1.8300413422233657,5.5914868973087835,31.215946197509766,0
ws7_fh3_var1,TKAN,3,7,1,2.208099793156607,6.791346128012343,31.874415397644043,0
ws7_fh3_var3,TKAN,3,7,3,2.7178295159726495,8.332059487001352,31.184123992919922,0
ws7_fh7_var1,TKAN,7,7,1,3.7417947547783927,11.724211383596677,31.3083975315094,0
ws7_fh7_var3,TKAN,7,7,3,3.893364488622989,11.636962008246805,31.523446083068848,0
ws15_fh1_var1,TKAN,1,15,1,1.4515986473735747,4.455869304014454,48.32800006866455,0
ws15_fh1_var3,TKAN,1,15,3,2.0492659163524154,6.510695904769308,47.49064874649048,0
ws15_fh3_var1,TKAN,3,15,1,2.506206838484727,7.944228012497462,48.30767607688904,0
ws15_fh3_var3,TKAN,3,15,3,2.625435243729546,8.302279747334557,48.48616003990173,0
ws15_fh7_var1,TKAN,7,15,1,4.0230712281734515,12.964523842765255,47.044565200805664,0
ws15_fh7_var3,TKAN,7,15,3,4.083892489978009,12.396066527739823,49.39148807525635,0
ws30_fh1_var1,TKAN,1,30,1,1.5422887239090262,4.669257326640581,78.7503547668457,0
ws30_fh1_var3,TKAN,1,30,3,2.950869707471989,10.438811589817359,80.30303072929382,0
ws30_fh3_var1,TKAN,3,30,1,2.311106015500868,7.200557997606515,78.84626317024231,0
ws30_fh3_var3,TKAN,3,30,3,2.8026108278939383,8.483756977507797,80.33889317512512,0
ws30_fh7_var1,TKAN,7,30,1,3.821128623832692,12.180343453400356,77.76367354393005,0
ws30_fh7_var3,TKAN,7,30,3,3.88420012354121,11.878484917688029,77.78764820098877,0
ws7_fh1_var1,TKAN,1,7,1,1.4679667826776697,4.5341795405334295,32.23881816864014,1
ws7_fh1_var3,TKAN,1,7,3,1.8995181021309764,5.775175735034148,30.050715446472168,1
ws7_fh3_var1,TKAN,3,7,1,2.41939725631815,7.698118195657116,30.083449363708496,1
ws7_fh3_var3,TKAN,3,7,3,2.7405570956719396,8.649517119370936,33.20844101905823,1
ws7_fh7_var1,TKAN,7,7,1,3.8571128490219406,12.478493773614394,28.90509867668152,1
ws7_fh7_var3,TKAN,7,7,3,3.793844009263923,11.569536716908702,30.266839265823364,1
ws15_fh1_var1,TKAN,1,15,1,1.7606251904593337,5.69021110553924,50.22816562652588,1
ws15_fh1_var3,TKAN,1,15,3,2.1366768048825175,6.928298434707483,47.01593255996704,1
ws15_fh3_var1,TKAN,3,15,1,2.3747968678224245,7.465695554661524,46.8668429851532,1
ws15_fh3_var3,TKAN,3,15,3,2.6691290935358394,8.310308435835656,50.627790212631226,1
ws15_fh7_var1,TKAN,7,15,1,3.566287524714573,11.0013649563031,46.681068658828735,1
ws15_fh7_var3,TKAN,7,15,3,3.9550886310669857,11.925868645200675,46.79491853713989,1
ws30_fh1_var1,TKAN,1,30,1,1.448082273074262,4.434676055368656,77.91230154037476,1
ws30_fh1_var3,TKAN,1,30,3,3.6123182733179715,12.215762456026374,83.11157894134521,1
ws30_fh3_var1,TKAN,3,30,1,2.4183088130343715,7.568594281178696,78.85100936889648,1
ws30_fh3_var3,TKAN,3,30,3,2.5703606761769144,8.102738574619824,78.8925507068634,1
ws30_fh7_var1,TKAN,7,30,1,3.59459099948718,10.892042639901197,79.02478551864624,1
ws30_fh7_var3,TKAN,7,30,3,3.8372258245753574,11.926999432001901,83.30605745315552,1
ws7_fh1_var1,TKAN,1,7,1,1.698579605136068,5.403152784637772,30.597388982772827,2
ws7_fh1_var3,TKAN,1,7,3,1.7144282997687714,5.163934050599481,30.458711862564087,2
ws7_fh3_var1,TKAN,3,7,1,2.6134832658794926,8.39367203151886,30.46164631843567,2
ws7_fh3_var3,TKAN,3,7,3,2.6593844565682767,8.260894679316605,35.61625528335571,2
ws7_fh7_var1,TKAN,7,7,1,3.595098334931501,11.042481181349089,30.669074773788452,2
ws7_fh7_var3,TKAN,7,7,3,3.9262524052164984,11.82757770222361,30.70492196083069,2
ws15_fh1_var1,TKAN,1,15,1,1.4429981073815037,4.344390458982838,47.1813383102417,2
ws15_fh1_var3,TKAN,1,15,3,2.02132269961844,6.575046585224295,47.29683542251587,2
ws15_fh3_var1,TKAN,3,15,1,2.3158000301004673,7.113846691974324,53.298583984375,2
ws15_fh3_var3,TKAN,3,15,3,2.872497322488855,8.80117508810712,47.74990940093994,2
ws15_fh7_var1,TKAN,7,15,1,3.6816254789068936,11.142067611628589,47.74363684654236,2
ws15_fh7_var3,TKAN,7,15,3,4.110355368385584,11.93491286754412,47.649163484573364,2
ws30_fh1_var1,TKAN,1,30,1,1.6434613153022932,4.9946303489619535,78.92117118835449,2
ws30_fh1_var3,TKAN,1,30,3,2.1552980934619406,6.5824694703659885,84.93481183052063,2
ws30_fh3_var1,TKAN,3,30,1,2.321146757180793,7.293783342401294,79.8098533153534,2
ws30_fh3_var3,TKAN,3,30,3,2.7021771267993797,8.318343257834302,80.30417442321777,2
ws30_fh7_var1,TKAN,7,30,1,3.6047045264186313,11.031788488757718,78.83783054351807,2
ws30_fh7_var3,TKAN,7,30,3,3.8653504128235037,11.783418228722562,78.7598946094513,2
ws7_fh1_var1,TKAN,1,7,1,1.448279851029718,4.416349121468721,30.665462255477905,3
ws7_fh1_var3,TKAN,1,7,3,2.2475253117327263,7.099777032930486,37.24417757987976,3
ws7_fh3_var1,TKAN,3,7,1,2.2068345823873075,6.783449589251196,30.82257604598999,3
ws7_fh3_var3,TKAN,3,7,3,2.837017399071853,8.493513123168832,30.846245288848877,3
ws7_fh7_var1,TKAN,7,7,1,3.6408626731702833,11.44788961515512,30.697412490844727,3
ws7_fh7_var3,TKAN,7,7,3,4.0037374529279175,12.49758881872974,30.60144591331482,3
ws15_fh1_var1,TKAN,1,15,1,1.5231166728227314,4.563146931552291,47.65949988365173,3
ws15_fh1_var3,TKAN,1,15,3,2.544878303210165,8.297746556286272,54.65454840660095,3
ws15_fh3_var1,TKAN,3,15,1,2.3697294794796524,7.497370640013251,47.64162826538086,3
ws15_fh3_var3,TKAN,3,15,3,2.6612779094243892,8.089629591983174,47.85682916641235,3
ws15_fh7_var1,TKAN,7,15,1,3.7276890975121733,11.393524944858155,47.42009139060974,3
ws15_fh7_var3,TKAN,7,15,3,3.954687858561852,12.121039657588845,47.35588073730469,3
ws30_fh1_var1,TKAN,1,30,1,2.9575041290009767,8.781726849720904,78.36071157455444,3
ws30_fh1_var3,TKAN,1,30,3,2.0145953884770536,6.307076508019009,78.7597029209137,3
ws30_fh3_var1,TKAN,3,30,1,2.362670647497766,7.489836289267364,86.71749949455261,3
