dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,TKAN,15,1,1,1.68221818406058,5.184345357338354,47.433298110961914
ws15_fh1_var3,TKAN,15,1,3,2.123099377045995,6.6809905172495885,47.202578163146974
ws15_fh3_var1,TKAN,15,3,1,2.3814234132386014,7.490123956253387,46.92157692909241
ws15_fh3_var3,TKAN,15,3,3,2.5943334037194905,7.959585216582534,45.91050252914429
ws15_fh7_var1,TKAN,15,7,1,3.802707521471465,11.986549128134834,47.9829617023468
ws15_fh7_var3,TKAN,15,7,3,3.9605403478497445,11.935270287520243,45.9806411743164
ws30_fh1_var1,TKAN,30,1,1,2.248466937420269,7.189932877916827,77.64470753669738
ws30_fh1_var3,TKAN,30,1,3,2.134633833236684,6.680015942754702,79.56397471427917
ws30_fh3_var1,TKAN,30,3,1,2.418387496141873,7.443037928619828,77.05959739685059
ws30_fh3_var3,TKAN,30,3,3,2.725246205825573,8.391265257515315,76.57536978721619
ws30_fh7_var1,TKAN,30,7,1,3.7502045765319734,11.672594837117888,77.29820575714112
ws30_fh7_var3,TKAN,30,7,3,3.981216465718739,12.101541251932211,76.82470598220826
ws7_fh1_var1,TKAN,7,1,1,1.8043018249115104,5.804611288905418,31.22168517112732
ws7_fh1_var3,TKAN,7,1,3,2.341711374240552,7.328845297872054,29.879723882675172
ws7_fh3_var1,TKAN,7,3,1,2.321784545912185,7.22776205708008,32.24326090812683
ws7_fh3_var3,TKAN,7,3,3,2.6993541766491873,8.365031043322459,31.20174684524536
ws7_fh7_var1,TKAN,7,7,1,3.6480759654435326,11.349431858931988,29.985863876342773
ws7_fh7_var3,TKAN,7,7,3,3.953602985361381,11.984407256043452,30.706542015075684
