run,dataset,model,n_ahead,ws,n_var,mae,mape,training_time
1,ws7_fh1_var1,GRU,1,7,1,2.0402206043345474,6.20795615836803,8.639391660690308
1,ws7_fh1_var3,GRU,1,7,3,2.2482897843363143,7.500820668909758,7.5579612255096436
1,ws7_fh3_var1,GRU,3,7,1,2.6505648733712146,8.209977398664908,7.537919282913208
1,ws7_fh3_var3,GRU,3,7,3,2.603110444480152,8.06556976327319,7.600418329238892
1,ws7_fh7_var1,GRU,7,7,1,4.050575911710154,12.2815412792024,7.597724199295044
1,ws7_fh7_var3,GRU,7,7,3,3.918861168229381,11.958580833131403,7.533202409744263
1,ws15_fh1_var1,GRU,1,15,1,1.829109622113549,5.619740066526045,7.6253626346588135
1,ws15_fh1_var3,GRU,1,15,3,1.7329989645199373,5.241979956439442,7.652310132980347
1,ws15_fh3_var1,GRU,3,15,1,2.5088188385576724,7.8436620769592915,7.679106712341309
1,ws15_fh3_var3,GRU,3,15,3,2.606673346084638,8.128789460751044,7.7032248973846436
1,ws15_fh7_var1,GRU,7,15,1,3.82470020802617,11.771799873656796,7.775675296783447
1,ws15_fh7_var3,GRU,7,15,3,3.830786727314066,11.494750742418294,7.828988790512085
1,ws30_fh1_var1,GRU,1,30,1,2.20898513923117,6.6998959901660795,8.080944776535034
1,ws30_fh1_var3,GRU,1,30,3,1.9826658874863379,6.263035238977367,8.165235996246338
1,ws30_fh3_var1,GRU,3,30,1,2.614429732971435,8.267362097518916,8.026991128921509
1,ws30_fh3_var3,GRU,3,30,3,2.540555390067255,8.037802965682307,7.943811655044556
1,ws30_fh7_var1,GRU,7,30,1,3.880272448434286,11.755372039230046,8.25184965133667
1,ws30_fh7_var3,GRU,7,30,3,4.077884724603121,12.097683167425394,8.288589715957642
2,ws7_fh1_var1,GRU,1,7,1,1.7558531010298914,5.386343305512701,7.526370048522949
2,ws7_fh1_var3,GRU,1,7,3,2.0828124594682604,6.724692939937306,7.5719006061553955
2,ws7_fh3_var1,GRU,3,7,1,2.819539913392617,8.89676874196972,7.597794532775879
2,ws7_fh3_var3,GRU,3,7,3,2.596358252011971,8.108195884658254,7.5185723304748535
2,ws7_fh7_var1,GRU,7,7,1,3.8647109954941556,11.93683162798362,7.52013373374939
2,ws7_fh7_var3,GRU,7,7,3,3.8843578280581252,11.832784043966825,7.524857044219971
2,ws15_fh1_var1,GRU,1,15,1,1.9333910334691322,5.927648054606702,7.613409042358398
2,ws15_fh1_var3,GRU,1,15,3,1.955712914033795,6.198463124314434,7.742689371109009
2,ws15_fh3_var1,GRU,3,15,1,2.7087013100392254,8.590217996687283,7.708329200744629
2,ws15_fh3_var3,GRU,3,15,3,2.5558044687476573,7.9049540982135085,7.763979434967041
2,ws15_fh7_var1,GRU,7,15,1,3.8264096155838394,11.792833701247284,7.80853533744812
2,ws15_fh7_var3,GRU,7,15,3,3.865106092845228,11.78653083106936,7.802688121795654
2,ws30_fh1_var1,GRU,1,30,1,1.8955246544311146,5.836884913781268,7.93965220451355
2,ws30_fh1_var3,GRU,1,30,3,1.8981920257378158,5.917253246033611,8.003724575042725
2,ws30_fh3_var1,GRU,3,30,1,2.5794266102469736,8.041807326984024,8.136632204055786
2,ws30_fh3_var3,GRU,3,30,3,2.520428957650731,8.017363355996455,8.0183846950531
2,ws30_fh7_var1,GRU,7,30,1,3.805348288183218,11.732166942119965,8.21640396118164
2,ws30_fh7_var3,GRU,7,30,3,3.894782527870306,11.702358823997413,8.274209260940552
3,ws7_fh1_var1,GRU,1,7,1,1.739769828548663,5.349478373667046,7.570296049118042
3,ws7_fh1_var3,GRU,1,7,3,2.1959167839647447,6.9937778556472345,7.680914640426636
3,ws7_fh3_var1,GRU,3,7,1,2.718423307988741,8.426507844512322,7.611924171447754
3,ws7_fh3_var3,GRU,3,7,3,2.6131499082383325,8.133925988192539,7.531510353088379
3,ws7_fh7_var1,GRU,7,7,1,3.9527759256992847,12.142989497891529,7.539838552474976
3,ws7_fh7_var3,GRU,7,7,3,3.9329318497990267,11.917239558310586,7.521595478057861
3,ws15_fh1_var1,GRU,1,15,1,1.8431670495711407,5.643764456568916,7.696237802505493
3,ws15_fh1_var3,GRU,1,15,3,1.7583225239734057,5.30994040230637,7.727651119232178
3,ws15_fh3_var1,GRU,3,15,1,2.6376583163377645,8.166652184511454,7.785149574279785
3,ws15_fh3_var3,GRU,3,15,3,2.6105486183307933,8.188609088774523,7.78540825843811
3,ws15_fh7_var1,GRU,7,15,1,3.8235594142932556,11.715222957015591,7.834783554077148
3,ws15_fh7_var3,GRU,7,15,3,3.89431728410515,11.678819811819961,7.890134811401367
3,ws30_fh1_var1,GRU,1,30,1,1.5815963642822919,4.884023155582814,8.097823858261108
3,ws30_fh1_var3,GRU,1,30,3,2.546768771500364,8.460760770047381,8.041811227798462
3,ws30_fh3_var1,GRU,3,30,1,2.5416352711694334,7.907060314272762,8.073093891143799
3,ws30_fh3_var3,GRU,3,30,3,2.572308940917447,8.142241636387158,8.006402492523193
3,ws30_fh7_var1,GRU,7,30,1,3.8123265335585357,11.80538917457377,8.286099672317505
3,ws30_fh7_var3,GRU,7,30,3,3.8600308941372368,11.637284628027025,8.243568658828735
4,ws7_fh1_var1,GRU,1,7,1,1.9568985278872895,6.027664928447551,7.530529022216797
4,ws7_fh1_var3,GRU,1,7,3,2.570352787606167,8.288990445367572,7.568052530288696
4,ws7_fh3_var1,GRU,3,7,1,2.62739068234101,8.12733683911882,7.674458980560303
4,ws7_fh3_var3,GRU,3,7,3,2.578224962228112,8.03001338280732,7.622147083282471
4,ws7_fh7_var1,GRU,7,7,1,3.951493763601886,12.031870170987553,7.618652582168579
4,ws7_fh7_var3,GRU,7,7,3,3.8776727283888737,11.79927790025043,7.563316106796265
4,ws15_fh1_var1,GRU,1,15,1,2.1570767117396716,6.592260375150905,7.7120935916900635
4,ws15_fh1_var3,GRU,1,15,3,2.0449106305929643,6.5294088908614265,7.7181878089904785
4,ws15_fh3_var1,GRU,3,15,1,2.6075589962807264,8.098156836242493,7.738061189651489
4,ws15_fh3_var3,GRU,3,15,3,2.534373923128864,7.959737151761321,7.776812553405762
4,ws15_fh7_var1,GRU,7,15,1,3.8118480788115163,11.744825885838658,7.855498790740967
4,ws15_fh7_var3,GRU,7,15,3,3.7941181769761205,11.455992821535776,7.7970428466796875
4,ws30_fh1_var1,GRU,1,30,1,2.0635353094106454,6.265018830134716,7.997389316558838
4,ws30_fh1_var3,GRU,1,30,3,2.0039368455830524,6.5146119637497115,7.985103607177734
4,ws30_fh3_var1,GRU,3,30,1,2.5295649387876837,7.888318418457511,8.02188229560852
4,ws30_fh3_var3,GRU,3,30,3,2.662383968137204,8.508262300360673,8.076128482818604
4,ws30_fh7_var1,GRU,7,30,1,3.831273275178094,11.731176075066987,8.260465621948242
4,ws30_fh7_var3,GRU,7,30,3,3.9991182754612415,11.975426780897909,8.2649507522583
5,ws7_fh1_var1,GRU,1,7,1,1.8947299438337892,5.78338629960228,7.550564289093018
5,ws7_fh1_var3,GRU,1,7,3,1.751190592931101,5.609039892106548,7.592267751693726
5,ws7_fh3_var1,GRU,3,7,1,2.636497227049423,8.178842312960672,7.5896079540252686
5,ws7_fh3_var3,GRU,3,7,3,2.781874421442373,8.620805617253682,7.617376804351807
5,ws7_fh7_var1,GRU,7,7,1,3.9204919024380067,12.25779822214785,7.590433835983276
5,ws7_fh7_var3,GRU,7,7,3,3.8892518677229324,11.854774894812577,7.511710166931152
5,ws15_fh1_var1,GRU,1,15,1,1.7148357614938041,5.2566682825774445,7.698847055435181
5,ws15_fh1_var3,GRU,1,15,3,1.6913318056922946,5.2490133454082715,7.727022647857666
5,ws15_fh3_var1,GRU,3,15,1,2.6075957573225756,8.173318613391476,7.757661581039429
5,ws15_fh3_var3,GRU,3,15,3,2.491142728656327,7.747151530958603,7.798306703567505
5,ws15_fh7_var1,GRU,7,15,1,3.82013946043113,11.75997630994394,7.745179176330566
5,ws15_fh7_var3,GRU,7,15,3,3.8447958013906205,11.64949959626993,7.81936502456665
5,ws30_fh1_var1,GRU,1,30,1,2.0053528655954147,6.168052081568881,7.973140716552734
5,ws30_fh1_var3,GRU,1,30,3,1.6184388145729165,4.90130483868182,7.93256402015686
5,ws30_fh3_var1,GRU,3,30,1,2.5182104082408823,7.832253407601524,8.088200569152832
5,ws30_fh3_var3,GRU,3,30,3,2.6028628530598046,8.307178713316908,8.05571699142456
5,ws30_fh7_var1,GRU,7,30,1,3.827601278656917,11.776808753585708,8.280095100402832
5,ws30_fh7_var3,GRU,7,30,3,4.145069138503909,12.178758085878611,8.347829103469849
6,ws7_fh1_var1,GRU,1,7,1,1.761549664082706,5.4227718100999125,7.611809730529785
6,ws7_fh1_var3,GRU,1,7,3,2.1509447889354627,7.026773095428665,7.558316230773926
6,ws7_fh3_var1,GRU,3,7,1,2.6741207722731493,8.456647776624855,7.558525800704956
6,ws7_fh3_var3,GRU,3,7,3,2.5916780033330387,8.180815335882553,7.540126323699951
6,ws7_fh7_var1,GRU,7,7,1,3.885588031987271,12.027670374291052,7.499523639678955
6,ws7_fh7_var3,GRU,7,7,3,3.894774118776194,11.870371825558127,7.555453538894653
6,ws15_fh1_var1,GRU,1,15,1,1.7832485801248346,5.471771443803214,7.6793646812438965
6,ws15_fh1_var3,GRU,1,15,3,1.7929797346185616,5.554880707917564,7.689042329788208
6,ws15_fh3_var1,GRU,3,15,1,2.5067318612886145,7.81600743560442,7.722939491271973
6,ws15_fh3_var3,GRU,3,15,3,2.500599042183501,7.762772619318503,7.726318836212158
6,ws15_fh7_var1,GRU,7,15,1,3.882274707035283,11.920451931445978,7.804588079452515
6,ws15_fh7_var3,GRU,7,15,3,3.883660800964912,11.679325925648296,7.764427900314331
6,ws30_fh1_var1,GRU,1,30,1,2.199121646242561,6.791754876486604,7.888420343399048
6,ws30_fh1_var3,GRU,1,30,3,1.9131502233086242,6.04985630357838,8.015109300613403
6,ws30_fh3_var1,GRU,3,30,1,2.525180429682654,7.873236286388146,7.994740009307861
6,ws30_fh3_var3,GRU,3,30,3,2.4881665167357565,7.885806047870672,8.045676946640015
6,ws30_fh7_var1,GRU,7,30,1,3.8404472936737943,11.81847615415437,8.275342464447021
6,ws30_fh7_var3,GRU,7,30,3,3.8897678539848357,11.64381638326869,8.230682611465454
7,ws7_fh1_var1,GRU,1,7,1,2.000217173818824,6.093527513841059,7.608501672744751
7,ws7_fh1_var3,GRU,1,7,3,1.7740727387424255,5.43583665553317,7.594389915466309
7,ws7_fh3_var1,GRU,3,7,1,2.648589833544811,8.211534040758153,7.490384578704834
7,ws7_fh3_var3,GRU,3,7,3,2.5886197111474503,8.180752522767543,7.518939018249512
7,ws7_fh7_var1,GRU,7,7,1,3.9110014016753816,12.21763578561773,7.691423177719116
7,ws7_fh7_var3,GRU,7,7,3,3.904659230922529,11.909835182373902,7.58756160736084
7,ws15_fh1_var1,GRU,1,15,1,2.0619698451803226,6.382963858187497,7.687247276306152
7,ws15_fh1_var3,GRU,1,15,3,1.6422999670538279,5.167002227451299,7.670163631439209
7,ws15_fh3_var1,GRU,3,15,1,2.5546046982649493,7.934284332603737,7.716249465942383
7,ws15_fh3_var3,GRU,3,15,3,2.623944553498152,8.19280899287249,7.8179826736450195
7,ws15_fh7_var1,GRU,7,15,1,3.8215838129176407,11.808025125052811,7.709096193313599
7,ws15_fh7_var3,GRU,7,15,3,3.8842797789647796,11.741392267187566,7.829506874084473
7,ws30_fh1_var1,GRU,1,30,1,1.8018734374124115,5.555007045371659,8.041937112808228
7,ws30_fh1_var3,GRU,1,30,3,2.0369706538544423,6.619015615222238,7.964494228363037
7,ws30_fh3_var1,GRU,3,30,1,2.52318219947319,7.876984274776695,8.127577304840088
7,ws30_fh3_var3,GRU,3,30,3,2.6138898884906627,8.337645538619638,8.126559257507324
7,ws30_fh7_var1,GRU,7,30,1,3.87834596347025,11.833316541520333,8.280218601226807
7,ws30_fh7_var3,GRU,7,30,3,3.9880471978947076,11.836083059630996,8.243917226791382
8,ws7_fh1_var1,GRU,1,7,1,2.428237700808875,7.390915913972526,7.497823238372803
8,ws7_fh1_var3,GRU,1,7,3,2.356651732924172,7.854072181591261,7.515596866607666
8,ws7_fh3_var1,GRU,3,7,1,2.6045071798006854,8.087896201769716,7.512418508529663
8,ws7_fh3_var3,GRU,3,7,3,2.617018233126571,8.128160192759674,7.576627254486084
8,ws7_fh7_var1,GRU,7,7,1,3.944586086852336,12.068481069092693,7.5973124504089355
8,ws7_fh7_var3,GRU,7,7,3,3.846206179831593,11.726887702865847,7.576070785522461
8,ws15_fh1_var1,GRU,1,15,1,1.7123965873826337,5.242063582614871,7.758279085159302
8,ws15_fh1_var3,GRU,1,15,3,1.732814821888543,5.376833406257481,7.746817350387573
8,ws15_fh3_var1,GRU,3,15,1,2.5431144952191373,7.895569842056759,7.803895950317383
8,ws15_fh3_var3,GRU,3,15,3,2.6458513389068723,8.161770964053385,7.751555681228638
8,ws15_fh7_var1,GRU,7,15,1,3.822901019767344,11.7646284762884,7.830347299575806
8,ws15_fh7_var3,GRU,7,15,3,3.8707077622811923,11.712087470691769,7.799881935119629
8,ws30_fh1_var1,GRU,1,30,1,1.6776822371886924,5.187065482672182,7.93015718460083
8,ws30_fh1_var3,GRU,1,30,3,2.205771831782213,6.924517124008983,7.991107702255249
8,ws30_fh3_var1,GRU,3,30,1,2.5875354366367787,8.035687945601472,8.128793954849243
8,ws30_fh3_var3,GRU,3,30,3,2.6611699846993093,8.290185132928242,8.071646451950073
8,ws30_fh7_var1,GRU,7,30,1,3.90654396964815,11.788157656869181,8.366814851760864
8,ws30_fh7_var3,GRU,7,30,3,3.8810084000847413,11.704054476696555,8.289151191711426
9,ws7_fh1_var1,GRU,1,7,1,2.2017368766076553,6.801214857080605,7.645317077636719
9,ws7_fh1_var3,GRU,1,7,3,2.070980276194621,6.421542903621616,7.57742977142334
9,ws7_fh3_var1,GRU,3,7,1,2.7149920830598337,8.39308412728381,7.5926454067230225
9,ws7_fh3_var3,GRU,3,7,3,2.6368498606229647,8.186183916324302,7.610912322998047
9,ws7_fh7_var1,GRU,7,7,1,3.8911472997119865,12.078619336291368,7.52794885635376
9,ws7_fh7_var3,GRU,7,7,3,3.87462649557201,11.828710811337139,7.468448877334595
9,ws15_fh1_var1,GRU,1,15,1,2.1478010005763317,6.629155485454069,7.725239038467407
9,ws15_fh1_var3,GRU,1,15,3,1.813598321419143,5.63778876728175,7.7761549949646
9,ws15_fh3_var1,GRU,3,15,1,2.608928892276868,8.084406839313612,7.726750612258911
9,ws15_fh3_var3,GRU,3,15,3,2.4858281565129006,7.727968800138528,7.771202802658081
9,ws15_fh7_var1,GRU,7,15,1,3.8177190022510366,11.676512611758756,7.796854734420776
9,ws15_fh7_var3,GRU,7,15,3,3.818464443255569,11.496465595606253,7.783959627151489
9,ws30_fh1_var1,GRU,1,30,1,1.6253947540740952,4.982867295060025,7.990144491195679
9,ws30_fh1_var3,GRU,1,30,3,1.702593469543988,5.380711706680427,8.007770538330078
9,ws30_fh3_var1,GRU,3,30,1,2.5606770733779705,8.03506954647275,8.019820928573608
9,ws30_fh3_var3,GRU,3,30,3,2.568598540343698,8.213704427886636,8.207670211791992
9,ws30_fh7_var1,GRU,7,30,1,3.8753208229953784,12.128953398693367,8.301108121871948
9,ws30_fh7_var3,GRU,7,30,3,3.940856391100621,11.78874566854028,8.303428649902344
10,ws7_fh1_var1,GRU,1,7,1,1.737113936820673,5.335060344344035,7.567567825317383
10,ws7_fh1_var3,GRU,1,7,3,2.0449489937024716,6.604115386665817,7.629323244094849
10,ws7_fh3_var1,GRU,3,7,1,2.6914152280659067,8.365348814319768,7.507144451141357
10,ws7_fh3_var3,GRU,3,7,3,2.661991320452223,8.308474784054255,7.582120418548584
10,ws7_fh7_var1,GRU,7,7,1,3.974067583961005,12.179985340711168,7.548293352127075
10,ws7_fh7_var3,GRU,7,7,3,3.8797787829661643,11.877921732542399,7.564147233963013
10,ws15_fh1_var1,GRU,1,15,1,1.642229970908784,5.062886450236024,7.612670421600342
10,ws15_fh1_var3,GRU,1,15,3,1.7979936078566225,5.492768757656275,7.659321308135986
10,ws15_fh3_var1,GRU,3,15,1,2.5833592239500156,8.04710328074454,7.738392114639282
10,ws15_fh3_var3,GRU,3,15,3,2.607607619579507,8.248674970319824,7.899623870849609
10,ws15_fh7_var1,GRU,7,15,1,3.8415812823713464,11.835104144992965,7.81514048576355
10,ws15_fh7_var3,GRU,7,15,3,3.882343377443065,11.790221522574155,7.813480377197266
10,ws30_fh1_var1,GRU,1,30,1,1.9979105054257635,6.123257753351566,8.061630725860596
10,ws30_fh1_var3,GRU,1,30,3,2.078628622265739,6.6209981122173645,8.06906509399414
10,ws30_fh3_var1,GRU,3,30,1,2.4484940662570485,7.618804704788454,8.04148006439209
10,ws30_fh3_var3,GRU,3,30,3,2.5781183747839007,8.109127438876792,8.050292730331421
10,ws30_fh7_var1,GRU,7,30,1,3.82162215130957,11.677570620092105,8.196950912475586
10,ws30_fh7_var3,GRU,7,30,3,3.937903069152999,11.85818755375712,8.282496929168701
11,ws7_fh1_var1,GRU,1,7,1,2.190792417535952,6.752347660508434,7.624746561050415
11,ws7_fh1_var3,GRU,1,7,3,2.1218951201883613,6.667447955230026,7.65958046913147
11,ws7_fh3_var1,GRU,3,7,1,2.620246474734706,8.126491141362028,7.582581996917725
11,ws7_fh3_var3,GRU,3,7,3,2.5488630426563064,7.8750775609223655,7.647470951080322
11,ws7_fh7_var1,GRU,7,7,1,3.9166190790894455,12.00939010143065,7.644368410110474
11,ws7_fh7_var3,GRU,7,7,3,3.919028782380822,12.012372340498978,7.677087783813477
11,ws15_fh1_var1,GRU,1,15,1,1.813664288697728,5.567594172593436,7.679227113723755
11,ws15_fh1_var3,GRU,1,15,3,2.3824150254923593,7.698979579771987,7.696120738983154
11,ws15_fh3_var1,GRU,3,15,1,2.537674201400209,7.893226693936023,7.678515911102295
11,ws15_fh3_var3,GRU,3,15,3,2.5578835039507477,8.111390938151912,7.721835374832153
11,ws15_fh7_var1,GRU,7,15,1,3.8502361625793484,11.811650680973962,7.803032636642456
11,ws15_fh7_var3,GRU,7,15,3,3.869153816390402,11.806619957907312,7.768643856048584
11,ws30_fh1_var1,GRU,1,30,1,1.994272772145122,6.133457076266541,7.972469091415405
11,ws30_fh1_var3,GRU,1,30,3,2.3211395266638752,7.4123574941795365,7.947679042816162
11,ws30_fh3_var1,GRU,3,30,1,2.483423758072813,7.709301466487219,8.078283548355103
11,ws30_fh3_var3,GRU,3,30,3,2.56688230890899,8.249684038217463,8.110015869140625
11,ws30_fh7_var1,GRU,7,30,1,3.8502225835611816,11.871744856066517,8.280825853347778
11,ws30_fh7_var3,GRU,7,30,3,4.0320075043571215,12.064501929560798,8.280444383621216
12,ws7_fh1_var1,GRU,1,7,1,2.206775385301266,6.778499533178631,7.670028924942017
12,ws7_fh1_var3,GRU,1,7,3,2.0949266908605506,6.796356600659354,7.725197792053223
12,ws7_fh3_var1,GRU,3,7,1,2.6789342625881116,8.362887720546496,7.503538370132446
12,ws7_fh3_var3,GRU,3,7,3,2.6701371714227897,8.293720688955325,7.580746173858643
12,ws7_fh7_var1,GRU,7,7,1,3.8317356460990544,11.841207787753882,7.57610011100769
12,ws7_fh7_var3,GRU,7,7,3,3.883479752999825,11.867955178909531,7.584672451019287
12,ws15_fh1_var1,GRU,1,15,1,2.067200825804826,6.348739723142202,7.733982086181641
12,ws15_fh1_var3,GRU,1,15,3,2.8545728766476235,9.164119164249081,7.68731951713562
12,ws15_fh3_var1,GRU,3,15,1,2.5490054283216264,7.963630267972585,7.731391429901123
12,ws15_fh3_var3,GRU,3,15,3,2.6585210382145723,8.22944510846195,7.686381578445435
12,ws15_fh7_var1,GRU,7,15,1,3.890686686876195,11.864372973607797,7.790584087371826
12,ws15_fh7_var3,GRU,7,15,3,3.9792418615606566,11.865795220138297,7.842996120452881
