dataset,run,n_ahead,ws,n_var,mae,mape,training_time
ws15_fh1_var1,25.5,1.0,15.0,1.0,1.8714723852339261,5.743553873688312,7.696345281600952
ws15_fh1_var3,25.5,1.0,15.0,3.0,2.0493254321013534,6.5442450274839095,7.719809288978577
ws15_fh3_var1,25.5,3.0,15.0,1.0,2.560932055787813,7.959390243542224,7.73638165473938
ws15_fh3_var3,25.5,3.0,15.0,3.0,2.5759185426510185,8.041683338012975,7.7633891248703
ws15_fh7_var1,25.5,7.0,15.0,1.0,3.837069215610901,11.790215935764358,7.811750087738037
ws15_fh7_var3,25.5,7.0,15.0,3.0,3.873336263283319,11.72498988869329,7.810254230499267
ws30_fh1_var1,25.5,1.0,30.0,1.0,1.8744606433839932,5.755034327305883,7.99273934841156
ws30_fh1_var3,25.5,1.0,30.0,3.0,1.942744594883719,6.1137694379656224,8.008731212615967
ws30_fh3_var1,25.5,3.0,30.0,1.0,2.5513417308790443,7.971451823985978,8.078468265533447
ws30_fh3_var3,25.5,3.0,30.0,3.0,2.5622057682053456,8.135650217536238,8.088249697685242
ws30_fh7_var1,25.5,7.0,30.0,1.0,3.8503344091991263,11.866426478713581,8.260005369186402
ws30_fh7_var3,25.5,7.0,30.0,3.0,3.939929135428813,11.819470558975443,8.278699569702148
ws7_fh1_var1,25.5,1.0,7.0,1.0,1.9445990882721054,5.968561084444148,7.597442770004273
ws7_fh1_var3,25.5,1.0,7.0,3.0,2.0796500931912587,6.647803002576633,7.599180150032043
ws7_fh3_var1,25.5,3.0,7.0,1.0,2.6697546333897497,8.304837112827189,7.5816197681427
ws7_fh3_var3,25.5,3.0,7.0,3.0,2.6234725986956504,8.18136261257042,7.584936647415161
ws7_fh7_var1,25.5,7.0,7.0,1.0,3.9390055691655568,12.137981612026937,7.581288132667542
ws7_fh7_var3,25.5,7.0,7.0,3.0,3.8987463402040703,11.896983866283227,7.579278230667114
