dataset,run,n_ahead,ws,n_var,mae,mape,training_time
ws15_fh1_var1,25.5,1.0,15.0,1.0,3.2881852579588853,11.040428586063792,11.900071134567261
ws15_fh1_var3,25.5,1.0,15.0,3.0,5.982729010316137,19.977698132264837,11.940542435646057
ws15_fh3_var1,25.5,3.0,15.0,1.0,3.9929546581202424,13.314337426691194,15.155095157623292
ws15_fh3_var3,25.5,3.0,15.0,3.0,6.0602745832572555,20.523923983016356,15.161397867202759
ws15_fh7_var1,25.5,7.0,15.0,1.0,5.29201965023017,17.87990232273369,15.349803986549377
ws15_fh7_var3,25.5,7.0,15.0,3.0,6.407792503459985,21.45479359842336,15.397052359580993
ws30_fh1_var1,25.5,1.0,30.0,1.0,4.032224267406102,13.911172902347921,10.99590030670166
ws30_fh1_var3,25.5,1.0,30.0,3.0,5.717933202304655,19.35110012417083,11.037884454727173
ws30_fh3_var1,25.5,3.0,30.0,1.0,3.9993432390586503,13.268289725218745,15.12944167137146
ws30_fh3_var3,25.5,3.0,30.0,3.0,6.220013596852546,20.66967149303819,15.182947363853454
ws30_fh7_var1,25.5,7.0,30.0,1.0,5.012110770920464,16.734783349398427,14.796924500465392
ws30_fh7_var3,25.5,7.0,30.0,3.0,7.368642357702389,25.07290181678718,14.84077028274536
ws7_fh1_var1,25.5,1.0,7.0,1.0,3.8834299753993333,13.37574612416795,11.841968350410461
ws7_fh1_var3,25.5,1.0,7.0,3.0,6.663704749915777,22.478602676341424,11.657627077102662
ws7_fh3_var1,25.5,3.0,7.0,1.0,4.401064983582941,14.647437398101477,15.438437571525574
ws7_fh3_var3,25.5,3.0,7.0,3.0,6.451300167360306,21.76955130593376,15.42875606060028
ws7_fh7_var1,25.5,7.0,7.0,1.0,4.676481725001684,15.384881718174643,15.549542183876037
ws7_fh7_var3,25.5,7.0,7.0,3.0,6.808980517808028,23.01077309444803,15.540744996070861
