run,dataset,model,n_ahead,ws,n_var,mae,mape,training_time
1,ws7_fh1_var1,TCN,1,7,1,2.4689201418345266,7.460471837626424,14.405681133270264
1,ws7_fh1_var3,TCN,1,7,3,16.131680652259035,56.69068897121918,11.690972328186035
1,ws7_fh3_var1,TCN,3,7,1,3.6806999963731495,12.267777979689628,16.381574392318726
1,ws7_fh3_var3,TCN,3,7,3,5.833829728867717,19.05536176432189,15.691728115081787
1,ws7_fh7_var1,TCN,7,7,1,4.934461023464105,16.36941670624048,16.333049058914185
1,ws7_fh7_var3,TCN,7,7,3,6.584815140087443,22.15142503784482,15.653545379638672
1,ws15_fh1_var1,TCN,1,15,1,1.7225543601923332,5.11712182783938,12.518567085266113
1,ws15_fh1_var3,TCN,1,15,3,6.571495611546264,21.380574749135885,12.264467477798462
1,ws15_fh3_var1,TCN,3,15,1,3.627585038375377,11.739596198665957,16.097789764404297
1,ws15_fh3_var3,TCN,3,15,3,6.612405177041613,22.88222529110188,15.363975286483765
1,ws15_fh7_var1,TCN,7,15,1,4.910115219820762,16.313622426267532,16.179437398910522
1,ws15_fh7_var3,TCN,7,15,3,5.745153410460434,18.972101677063318,15.601221799850464
1,ws30_fh1_var1,TCN,1,30,1,3.6952170598445844,12.419195500397763,11.799849033355713
1,ws30_fh1_var3,TCN,1,30,3,6.816975465334996,23.86088644363608,11.23283052444458
1,ws30_fh3_var1,TCN,3,30,1,4.965300107954399,17.167878445618303,16.03070640563965
1,ws30_fh3_var3,TCN,3,30,3,5.975414664520071,20.73649516992051,15.470140933990479
1,ws30_fh7_var1,TCN,7,30,1,5.205705251503241,17.405505160255636,15.630489349365234
1,ws30_fh7_var3,TCN,7,30,3,6.192618913379669,20.946684197396344,15.135619640350342
2,ws7_fh1_var1,TCN,1,7,1,4.453156240775198,15.507905635882025,11.033502340316772
2,ws7_fh1_var3,TCN,1,7,3,4.462080316821724,15.47937417969973,11.167811870574951
2,ws7_fh3_var1,TCN,3,7,1,2.9567718934357248,9.1323118448919,14.734045267105103
2,ws7_fh3_var3,TCN,3,7,3,6.130984947344423,19.94838081006356,14.507246494293213
2,ws7_fh7_var1,TCN,7,7,1,5.206188878419163,17.361890150412755,14.63601279258728
2,ws7_fh7_var3,TCN,7,7,3,10.241894365149472,35.876231067568426,14.583339214324951
2,ws15_fh1_var1,TCN,1,15,1,4.771488598029493,16.516047289082724,11.31006932258606
2,ws15_fh1_var3,TCN,1,15,3,4.796180992767703,15.947566573497415,11.453920125961304
2,ws15_fh3_var1,TCN,3,15,1,4.931426123959912,17.073688076598323,14.184180498123169
2,ws15_fh3_var3,TCN,3,15,3,4.209925519344899,13.455073235393542,14.349746704101562
2,ws15_fh7_var1,TCN,7,15,1,4.877560323349349,16.09711128254033,14.326121807098389
2,ws15_fh7_var3,TCN,7,15,3,7.81732696065959,26.586247068631046,14.459660291671753
2,ws30_fh1_var1,TCN,1,30,1,3.053573152011074,10.033505248793704,10.481636762619019
2,ws30_fh1_var3,TCN,1,30,3,4.458722858804959,15.12190166217,10.30654263496399
2,ws30_fh3_var1,TCN,3,30,1,3.5696583173189897,11.46030182853333,14.467130661010742
2,ws30_fh3_var3,TCN,3,30,3,4.329770801285571,14.454834163419061,14.584157466888428
2,ws30_fh7_var1,TCN,7,30,1,4.674739626355235,15.228163781076656,14.194910764694214
2,ws30_fh7_var3,TCN,7,30,3,9.272358444759394,32.03688587076213,14.266937971115112
3,ws7_fh1_var1,TCN,1,7,1,2.3208375374451835,7.45463605731335,10.922153234481812
3,ws7_fh1_var3,TCN,1,7,3,4.61388904676438,16.10391867026476,10.986115217208862
3,ws7_fh3_var1,TCN,3,7,1,5.225537445243465,18.042742185130297,14.505316734313965
3,ws7_fh3_var3,TCN,3,7,3,6.509764373140581,22.11161975289576,14.826377391815186
3,ws7_fh7_var1,TCN,7,7,1,4.356912429035053,14.006568008088088,14.574058294296265
3,ws7_fh7_var3,TCN,7,7,3,5.2291568064085805,16.990119077538548,14.913198232650757
3,ws15_fh1_var1,TCN,1,15,1,3.3007510614567854,11.407932146343697,11.100149631500244
3,ws15_fh1_var3,TCN,1,15,3,4.69887528207396,16.33104598854891,11.194035768508911
3,ws15_fh3_var1,TCN,3,15,1,3.6796186116938103,11.982817947737933,14.229792594909668
3,ws15_fh3_var3,TCN,3,15,3,8.256523918124488,27.532736833396182,14.253618717193604
3,ws15_fh7_var1,TCN,7,15,1,4.733934932938767,15.490917676432616,14.65957522392273
3,ws15_fh7_var3,TCN,7,15,3,5.8866049507302876,19.438962274443668,14.605801343917847
3,ws30_fh1_var1,TCN,1,30,1,5.8114809793408275,21.013023981511537,10.277477025985718
3,ws30_fh1_var3,TCN,1,30,3,4.6638113954688745,15.335109642635372,10.616625308990479
3,ws30_fh3_var1,TCN,3,30,1,4.312443033531575,14.648112077650522,14.19181227684021
3,ws30_fh3_var3,TCN,3,30,3,5.651029972276625,18.640018819235856,14.238320350646973
3,ws30_fh7_var1,TCN,7,30,1,5.4317163243697335,18.61822957799382,13.909528493881226
3,ws30_fh7_var3,TCN,7,30,3,8.281803943510681,28.67456515376009,13.878555297851562
4,ws7_fh1_var1,TCN,1,7,1,4.21858768083052,14.752549758644069,10.754653215408325
4,ws7_fh1_var3,TCN,1,7,3,7.282076757663202,23.938233637593285,11.032485008239746
4,ws7_fh3_var1,TCN,3,7,1,2.990809119442449,9.399745664786645,14.443447589874268
4,ws7_fh3_var3,TCN,3,7,3,5.730722965642794,19.719406763853687,14.504953384399414
4,ws7_fh7_var1,TCN,7,7,1,4.284720321837382,14.029184380720611,14.835223197937012
4,ws7_fh7_var3,TCN,7,7,3,5.653357847947838,18.507013695413185,14.889967203140259
4,ws15_fh1_var1,TCN,1,15,1,2.5163657312760583,8.158792978468702,11.466830253601074
4,ws15_fh1_var3,TCN,1,15,3,6.803248059439551,22.571526024200793,11.680529117584229
