dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh1_var1,TKAN,1,7,1,1.7874203802886612,5.445927331923955,34.15129375457764,1
ws7_fh1_var3,TKAN,1,7,3,2.3337389880898343,7.322696461478777,34.02013826370239,1
ws7_fh3_var1,TKAN,3,7,1,2.348468303169879,7.511373459686084,33.758187770843506,1
ws7_fh3_var3,TKAN,3,7,3,2.6121899427187825,8.152464957578031,33.32681655883789,1
ws7_fh7_var1,TKAN,7,7,1,3.5497192299732307,10.95051371087174,33.25621175765991,1
ws7_fh7_var3,TKAN,7,7,3,3.9583710993979087,12.02157947948344,33.006513595581055,1
ws15_fh1_var1,TKAN,1,15,1,1.6428500166076003,4.913185865542424,50.31312346458435,1
ws15_fh1_var3,TKAN,1,15,3,2.137821806730703,6.81785744257515,50.53914976119995,1
ws15_fh3_var1,TKAN,3,15,1,2.688958483528742,8.778513115095926,59.253628730773926,1
ws15_fh3_var3,TKAN,3,15,3,2.905570016074368,8.708518040623353,50.248321533203125,1
ws15_fh7_var1,TKAN,7,15,1,3.67346397910938,11.419401618306823,49.93670272827149,1
ws15_fh7_var3,TKAN,7,15,3,4.15020124144949,12.175312588214984,50.07085752487183,1
ws30_fh1_var1,TKAN,1,30,1,1.906865798204672,5.916924441632822,82.76483178138733,1
ws30_fh1_var3,TKAN,1,30,3,2.023162346219808,6.500543145736788,83.31336069107056,1
ws30_fh3_var1,TKAN,3,30,1,2.3178881415512325,7.121910581095404,82.83164072036743,1
ws30_fh3_var3,TKAN,3,30,3,2.5858631228592324,8.128939812364807,83.03728413581848,1
ws30_fh7_var1,TKAN,7,30,1,3.624138797006615,11.123607164211643,82.90459299087524,1
ws30_fh7_var3,TKAN,7,30,3,4.066700611937596,12.750822575316088,82.50456213951111,1
ws7_fh1_var1,TKAN,1,7,1,2.190359180708409,6.79951461595083,42.71584630012512,2
ws7_fh1_var3,TKAN,1,7,3,2.5719992376595595,8.213879782044177,32.5246000289917,2
ws7_fh3_var1,TKAN,3,7,1,2.6951866713876025,7.948693935434078,32.53266406059265,2
ws7_fh3_var3,TKAN,3,7,3,2.7566205989475283,8.69061849527596,32.454692125320435,2
ws7_fh7_var1,TKAN,7,7,1,3.6535348792767226,11.272566580713976,32.43524432182312,2
ws7_fh7_var3,TKAN,7,7,3,4.032204111720647,12.14167014362412,32.28061866760254,2
ws15_fh1_var1,TKAN,1,15,1,2.035206744641767,6.422659691325904,50.15322661399841,2
ws15_fh1_var3,TKAN,1,15,3,2.151277924472835,7.175548082862764,49.87386870384216,2
ws15_fh3_var1,TKAN,3,15,1,2.5059745984284034,7.93799216604538,50.17669415473938,2
ws15_fh3_var3,TKAN,3,15,3,2.840723850452962,8.58412782457496,50.03691267967224,2
ws15_fh7_var1,TKAN,7,15,1,4.06323149100644,13.147892689548735,50.03582310676575,2
ws15_fh7_var3,TKAN,7,15,3,4.377976106483319,12.592246261159628,65.34161424636841,2
ws30_fh1_var1,TKAN,1,30,1,2.531969154005109,8.030283555892137,85.305006980896,2
ws30_fh1_var3,TKAN,1,30,3,2.417654567530325,7.930964027217778,84.29199361801147,2
ws30_fh3_var1,TKAN,3,30,1,2.5135763020931114,7.736402124996339,85.00703310966492,2
ws30_fh3_var3,TKAN,3,30,3,2.731790572197691,8.387403088468256,83.71145296096802,2
ws30_fh7_var1,TKAN,7,30,1,3.587520723686136,10.9938820469579,83.85701107978821,2
ws30_fh7_var3,TKAN,7,30,3,4.15313836006403,12.60196170740852,83.6299979686737,2
ws7_fh1_var1,TKAN,1,7,1,1.9841412598871155,5.808113794336597,33.00217175483704,3
ws7_fh1_var3,TKAN,1,7,3,1.856823553907092,5.68371740851545,32.75518774986267,3
ws7_fh3_var1,TKAN,3,7,1,2.623310187549436,8.595124946193705,32.96916055679321,3
ws7_fh3_var3,TKAN,3,7,3,2.8016089439587595,8.618272480517359,32.761141538619995,3
ws7_fh7_var1,TKAN,7,7,1,3.776632864310789,11.989971317084477,33.16838717460632,3
ws7_fh7_var3,TKAN,7,7,3,3.965151487357647,12.011842126845456,47.63771414756775,3
ws15_fh1_var1,TKAN,1,15,1,1.5095805730922378,4.443547184741767,51.23007845878601,3
ws15_fh1_var3,TKAN,1,15,3,1.828268809380262,5.6124827974228895,50.70923829078674,3
ws15_fh3_var1,TKAN,3,15,1,2.484704391352298,7.942309272627897,50.37951374053955,3
ws15_fh3_var3,TKAN,3,15,3,2.585329110485159,7.946681909761318,50.313977003097534,3
ws15_fh7_var1,TKAN,7,15,1,3.88078019061778,12.300212143263508,50.69125270843506,3
ws15_fh7_var3,TKAN,7,15,3,4.225259495456772,13.04828475137027,50.25488662719727,3
ws30_fh1_var1,TKAN,1,30,1,1.6209824298851851,5.057344746104494,82.9884865283966,3
ws30_fh1_var3,TKAN,1,30,3,1.7590674768009271,5.413604998154713,83.06834363937378,3
ws30_fh3_var1,TKAN,3,30,1,2.3072081402387705,7.054646044680994,83.81354188919067,3
ws30_fh3_var3,TKAN,3,30,3,2.7515588784029945,8.311073798551966,83.66419267654419,3
ws30_fh7_var1,TKAN,7,30,1,3.6658722961069263,11.109626466610344,83.58319759368896,3
ws30_fh7_var3,TKAN,7,30,3,3.956569280647096,11.74239707923324,83.69506168365479,3
ws7_fh1_var1,TKAN,1,7,1,1.5478068254018384,4.638460174434271,49.27363467216492,4
ws7_fh1_var3,TKAN,1,7,3,2.217944736521489,7.313064483577805,33.38789939880371,4
ws7_fh3_var1,TKAN,3,7,1,2.436220366531308,7.784913162972922,33.15519309043884,4
ws7_fh3_var3,TKAN,3,7,3,2.5999600664883937,7.781910240142098,32.995731592178345,4
ws7_fh7_var1,TKAN,7,7,1,3.5792984771428653,11.083572050832853,32.74242305755615,4
ws7_fh7_var3,TKAN,7,7,3,3.9744233794759474,12.127131467591408,32.675459146499634,4
ws15_fh1_var1,TKAN,1,15,1,1.5395858507746083,4.801510174456722,50.69911289215088,4
ws15_fh1_var3,TKAN,1,15,3,2.941658935775252,9.72679023884182,50.63642358779907,4
ws15_fh3_var1,TKAN,3,15,1,2.358883161542381,7.354905059545191,50.67673659324646,4
ws15_fh3_var3,TKAN,3,15,3,2.697842061530826,8.49277157725283,50.117451190948486,4
ws15_fh7_var1,TKAN,7,15,1,3.9969917849792895,12.946827051356586,50.033080101013184,4
ws15_fh7_var3,TKAN,7,15,3,4.121718110328199,12.62032003872126,51.1728093624115,4
ws30_fh1_var1,TKAN,1,30,1,2.7806484108609477,8.843313640917948,82.47788500785828,4
ws30_fh1_var3,TKAN,1,30,3,2.4390099271554218,7.858856107219463,83.13480234146118,4
ws30_fh3_var1,TKAN,3,30,1,2.4670359694251025,7.477804559887437,100.49912881851196,4
ws30_fh3_var3,TKAN,3,30,3,2.7915838373458683,8.350947123534334,84.39727425575256,4
ws30_fh7_var1,TKAN,7,30,1,3.656232920915412,11.259808632179489,84.3195264339447,4
ws30_fh7_var3,TKAN,7,30,3,4.257700104156489,12.863502196957272,83.77991724014282,4
ws7_fh1_var1,TKAN,1,7,1,1.6639511050465507,5.348786226250896,32.75528931617737,5
ws7_fh1_var3,TKAN,1,7,3,2.099415194729995,7.068116505895075,32.67211174964905,5
ws7_fh3_var1,TKAN,3,7,1,2.2464943115354608,6.961961009635285,32.65766668319702,5
ws7_fh3_var3,TKAN,3,7,3,2.7260700095392547,8.745000112092258,32.75009536743164,5
ws7_fh7_var1,TKAN,7,7,1,3.696432189541576,11.641688347618892,32.60692834854126,5
ws7_fh7_var3,TKAN,7,7,3,3.9825230896357913,11.867553756097443,32.66167140007019,5
ws15_fh1_var1,TKAN,1,15,1,1.6394240920752754,4.975931991761111,50.81711387634277,5
ws15_fh1_var3,TKAN,1,15,3,2.634513567687286,9.145965472574332,50.21961855888367,5
ws15_fh3_var1,TKAN,3,15,1,2.300074249447403,7.084659832487993,50.186439037323,5
